Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-19 11:35:00,,,0.273,,,,,,,,,,,,,,1.05,1.05,6.0,41.0,2.602,2.602,2.602,2.602,2.602,2.602
2016-05-25 12:50:00,,,0.505,,,,,,,,,,,,,,0.0,0.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-22 14:10:00,,,0.505,,,,,,,,,,,,,,0.05,0.05,6.0,41.0,0.001,0.001,0.001,0.001,0.001,0.001
2016-07-22 10:25:00,,,0.214,,,,,,,,,,,,,,0.49,0.49,6.0,41.0,0.378,0.378,0.378,0.378,0.378,0.378
2016-08-08 09:45:00,,,4.676,,,,,,,,,,,,,,2.94,2.94,6.0,41.0,33.622,33.622,33.622,33.622,33.622,33.622
2016-08-26 14:30:00,,,0.273,,,,,,,,,,,,,,0.72,0.72,6.0,41.0,0.989,0.989,0.989,0.989,0.989,0.989
2016-09-23 10:10:00,,,0.505,,,,,,,,,,,,,,0.94,0.94,6.0,41.0,1.927,1.927,1.927,1.927,1.927,1.927
2016-10-04 12:10:00,,,0.601,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28 09:15:00,,,0.0,,,,,,,,,,,SDG-072,0.0,,,,,,,,,,,
2017-05-09 14:35:00,,,0.0,,,,,,,,,,,SDG-072,0.601,,1.19,1.19,6.0,41.0,3.548,3.548,3.548,3.548,3.548,3.548
2017-05-12 17:20:00,,,0.158503079444,,,,,,,,,,,SDG-072,0.102,,0.94,0.94,6.0,41.0,1.927,1.927,1.927,1.927,1.927,1.927
2017-05-25 14:40:00,,,0.217941734236,,,,,,,,,,,SDG-072,0.07,,0.48,0.48,6.0,41.0,0.359,0.359,0.359,0.359,0.359,0.359
2017-06-08 16:05:00,,,0.106989578625,,,,,,,,,,,SDG-072,0.011,,0.44,0.44,6.0,41.0,0.289,0.289,0.289,0.289,0.289,0.289
2017-06-19 18:15:00,,,0.176995105379,,,,,,,,,,,SDG-072,0.273,,0.44,0.44,6.0,41.0,0.289,0.289,0.289,0.289,0.289,0.289
2017-06-20 10:40:00,,,0.174353387388,,,,,,,,,,,SDG-072,0.011,,0.38,0.38,6.0,41.0,0.2,0.2,0.2,0.2,0.2,0.2
2017-07-07 10:55:00,,,0.126802463555,,,,,,,,,,,SDG-072,0.273,,0.41,0.41,6.0,41.0,0.242,0.242,0.242,0.242,0.242,0.242
