Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-12 11:30:00,,39.999867552,,,,,,,,,,,3.51,3.51,6.0,48.0,52.291,52.291,52.291,52.291,52.291,52.291
2016-05-23 10:50:00,,29.4363085714,,,,,,,,,,,3.09,3.09,6.0,48.0,38.06,38.06,38.06,38.06,38.06,38.06
2016-06-27 11:20:00,,19.8129,,,,,,,,,,,1.86,1.86,6.0,48.0,10.757,10.757,10.757,10.757,10.757,10.757
2016-07-21 10:50:00,,14.375,,,,,,,,,,,2.22,2.22,6.0,48.0,16.704,16.704,16.704,16.704,16.704,16.704
2016-08-04 10:15:00,,15.07,,,,,,,,,,,,,6.0,48.0,,,,,,
2016-08-09 09:10:00,,21.568,,,,,,,,,,,,,6.0,48.0,,,,,,
2016-08-24 12:20:00,,4.763,,,,,,,,,,,1.36,1.36,6.0,48.0,4.942,4.942,4.942,4.942,4.942,4.942
2017-04-28 11:50:00,,84.9449703356,,,,,,,,SWT-055,72.432,,,,,,,,,,,
2017-04-28 11:50:00,,,,,,4.009801,12.773,,,SWT-055,,-8.763199,,,,,,,,,,
2017-05-30 12:05:00,,150.000181747,,,,,,,,SWT-055,179.113,,6.4,6.4,6.0,48.0,234.0,234.0,234.0,234.0,285.293458489,285.293458489
2017-05-30 12:05:00,,,,,,5.75,14.633,,,SWT-055,,-8.883,6.4,6.4,6.0,48.0,234.0,234.0,234.0,234.0,285.293458489,285.293458489
2017-06-08 10:00:00,,79.251539722,,,,,,,,SWT-055,56.472,,4.13,4.13,6.0,48.0,78.446,78.446,78.446,78.446,78.446,78.446
2017-06-08 10:00:00,,,,,,3.625,12.363,,,SWT-055,,-8.738,4.13,4.13,6.0,48.0,78.446,78.446,78.446,78.446,78.446,78.446
2017-06-21 11:35:00,,88.3126324302,,,,,,,,SWT-055,56.472,,4.37,,6.0,48.0,90.314,,90.314,,90.314,
2017-06-21 11:35:00,,,,,,3.625,12.595,,,SWT-055,,-8.97,4.37,,6.0,48.0,90.314,,90.314,,90.314,
