Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-25 10:05:00,,1.18877309583,,,,,,CAR-069L,,,,6.0,32.0,,,,,,
2018-05-25 10:05:00,2018-05-25 10:10:00,,,,,0.787401574803,13.7,CAR-069L,-12.9125984252,,,6.0,32.0,,,,,,
2018-07-23 16:40:00,,0.0,,,,,,CAR-069L,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 16:40:00,2018-07-23 16:45:00,,,,,0.0,7.13,CAR-069L,-7.13,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 18:30:00,2018-08-06 18:35:00,,,,,-0.708661417323,6.34,CAR-069L,-7.04866141732,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-20 12:15:00,2018-08-20 12:20:00,,,,,-3.74015748031,3.35,CAR-069L,-7.09015748031,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 11:30:00,2018-09-04 11:35:00,,,,,-1.37795275591,5.31,CAR-069L,-6.68795275591,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 17:10:00,,0.0,,,,,,CAR-069L,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 17:10:00,2018-09-18 17:15:00,,,,,0.0,7.05,CAR-069L,-7.05,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 12:40:00,2018-09-27 12:45:00,,,,,0.0,2.24,CAR-069L,-2.24,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
