Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 09:15:00,,0.0,,,,,,,SDR-064,0.0,,,,,,,,,,,
2017-04-28 09:15:00,,,,,,,0.0,2.667,SDR-064,,-2.667,,,,,,,,,,
2017-05-11 15:45:00,,0.0,,,,,,,SDR-064,0.0,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-11 15:45:00,,,,,,,0.0,2.05,SDR-064,,-2.05,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-26 11:15:00,,0.0103027001639,,,,,,,SDR-064,0.187,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-26 11:15:00,,,,,,,0.375,3.859,SDR-064,,-3.484,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 14:10:00,,0.0,,,,,,,SDR-064,0.0,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 14:10:00,,,,,,,0.0,2.55,SDR-064,,-2.55,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 11:50:00,,0.0,,,,,,,SDR-064,0.0,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 11:50:00,,,,,,,0.0,2.558,SDR-064,,-2.558,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 14:05:00,,0.0,,,,,,,SDR-064,,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 08:30:00,,1.14166553725,,,,,,,SDR-064,1.37,,0.7,0.7,6.0,32.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-07-20 08:30:00,,,,,,,0.826771653543,7.015,SDR-064,,-6.18822834646,0.7,0.7,6.0,32.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-07-20 08:50:00,,0.0898184116849,,,,,,,SDR-064,0.214,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 08:50:00,,,,,,,0.393700787402,3.44,SDR-064,,-3.0462992126,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:35:00,,0.0,,,,,,,SDR-064,0.0,,,,6.0,32.0,,,,,,
2017-08-03 12:35:00,,,,,,,0.0,,SDR-064,,,,,6.0,32.0,,,,,,
2017-08-17 10:25:00,,0.0,,,,,,,SDR-064,0.0,,0.07,0.07,6.0,32.0,0.003,0.003,0.003,0.003,0.003,0.003
2017-08-17 10:25:00,,,,,,,0.0,6.391,SDR-064,,-6.391,0.07,0.07,6.0,32.0,0.003,0.003,0.003,0.003,0.003,0.003
2017-08-31 11:05:00,,0.0,,,,,,,SDR-064,0.0,,0.22,0.22,6.0,32.0,0.051,0.051,0.051,0.051,0.051,0.051
2017-08-31 11:05:00,,,,,,,0.0,6.538,SDR-064,,-6.538,0.22,0.22,6.0,32.0,0.051,0.051,0.051,0.051,0.051,0.051
2017-09-19 15:00:00,,0.0,,,,,,,SDR-064,0.0,,0.35,0.35,6.0,32.0,0.163,0.163,0.163,0.163,0.163,0.163
2017-09-19 15:00:00,,,,,,,0.0,6.668,SDR-064,,-6.668,0.35,0.35,6.0,32.0,0.163,0.163,0.163,0.163,0.163,0.163
2017-10-03 13:45:00,,0.0,,,,,,,SDR-064,,,,,,,,,,,,
2017-10-03 13:45:00,,,,,,,-0.787401574803,4.556,SDR-064,,-5.3434015748,,,,,,,,,,
2018-05-14 13:30:00,,0.0,,,,,,,SDR-064,,,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 13:30:00,2018-05-14 13:35:00,,,,,,0.0,3.38582,SDR-064,,-3.38582,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 09:45:00,2018-05-29 09:50:00,,,,,,0.0,3.46456,SDR-064,,-3.46456,0.04,0.04,6.0,29.0,0.001,0.001,0.001,0.001,0.001,0.001
2018-06-12 11:40:00,2018-06-12 11:45:00,,,,,,0.0,3.66141,SDR-064,,-3.66141,0.23,0.23,6.0,29.0,0.057,0.057,0.057,0.057,0.057,0.057
2018-06-25 13:50:00,2018-06-25 13:55:00,,,,,,0.0,3.26771,SDR-064,,-3.26771,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
