Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-25 12:45:00,,0.121519027574,,,,,,,,SDR-127B,,0.34,0.34,6.0,42.0,0.152,0.152,0.152,0.152,0.152,0.152
2018-05-25 12:45:00,2018-05-25 12:50:00,,,,,0.236220472441,6.304,,0.063,SDR-127B,-6.06777952756,0.34,0.34,6.0,42.0,0.152,0.152,0.152,0.152,0.152,0.152
2018-06-12 08:05:00,2018-06-12 08:10:00,,,,,0.0,5.986,,0.0,SDR-127B,-5.986,0.02,0.02,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26 09:45:00,,0.491359546276,,,,,,,,SDR-127B,,0.37,0.37,6.0,42.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-06-26 09:45:00,2018-06-26 09:50:00,,,,,0.393700787402,6.335,,0.214,SDR-127B,-5.9412992126,0.37,0.37,6.0,42.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-07-10 13:40:00,2018-07-10 13:45:00,,,,,0.0,5.972,,0.0,SDR-127B,-5.972,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 10:10:00,,0.327573030851,,,,,,,,SDR-127B,,0.45,0.45,6.0,42.0,0.306,0.306,0.306,0.306,0.306,0.306
2018-07-25 10:10:00,2018-07-25 10:15:00,,,,,0.433070866142,6.421,,0.273,SDR-127B,-5.98792913386,0.45,0.45,6.0,42.0,0.306,0.306,0.306,0.306,0.306,0.306
2018-08-07 08:45:00,2018-08-07 08:50:00,,,,,0.0,-0.507,,0.0,SDR-127B,0.507,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 10:05:00,2018-08-21 10:10:00,,,,,0.0,6.238,,0.0,SDR-127B,-6.238,0.27,0.27,6.0,42.0,0.085,0.085,0.085,0.085,0.085,0.085
2018-09-05 08:30:00,,0.443808622443,,,,,,,,SDR-127B,,0.42,0.42,6.0,42.0,0.257,0.257,0.257,0.257,0.257,0.257
2018-09-05 08:30:00,2018-09-05 08:35:00,,,,,0.314960629921,6.39,,0.12,SDR-127B,-6.07503937008,0.42,0.42,6.0,42.0,0.257,0.257,0.257,0.257,0.257,0.257
2018-09-18 08:25:00,,0.126802463555,,,,,,,,SDR-127B,,0.25,0.25,6.0,42.0,0.07,0.07,0.07,0.07,0.07,0.07
2018-09-18 08:25:00,2018-09-18 08:30:00,,,,,0.275590551181,6.216,,0.093,SDR-127B,-5.94040944882,0.25,0.25,6.0,42.0,0.07,0.07,0.07,0.07,0.07,0.07
2018-09-27 14:45:00,2018-09-27 14:50:00,,,,,0.0,5.978,,0.0,SDR-127B,-5.978,0.01,0.01,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
