Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-14 11:30:00,,0.0,,,,,,,,SDR-203A,,0.08,0.08,8.0,50.0,0.004,0.004,0.004,0.004,0.004,0.004
2018-05-14 11:30:00,2018-05-14 11:35:00,,,,,0.0,3.849,,0.0,SDR-203A,-3.849,0.08,0.08,8.0,50.0,0.004,0.004,0.004,0.004,0.004,0.004
2018-05-25 10:35:00,,0.0132085899537,,,,,,,,SDR-203A,,0.07,0.07,8.0,50.0,0.003,0.003,0.003,0.003,0.003,0.003
2018-05-25 10:35:00,2018-05-25 10:40:00,,,,,0.0787401574803,3.843,,0.004,SDR-203A,-3.76425984252,0.07,0.07,8.0,50.0,0.003,0.003,0.003,0.003,0.003,0.003
2018-06-12 09:35:00,,0.147936207481,,,,,,,,SDR-203A,,0.37,0.37,8.0,50.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-06-12 09:35:00,2018-06-12 09:40:00,,,,,0.314960629921,4.142,,0.12,SDR-203A,-3.82703937008,0.37,0.37,8.0,50.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-06-25 12:15:00,2018-06-25 12:20:00,,,,0.0,0.0,3.824,0.0,0.0,SDR-203A,-3.824,0.05,0.05,8.0,50.0,0.001,0.001,0.001,0.001,0.001,0.001
2018-07-10 12:45:00,2018-07-10 12:50:00,,,,,0.0,3.959,,0.0,SDR-203A,-3.959,0.19,0.19,8.0,50.0,0.035,0.035,0.035,0.035,0.035,0.035
2018-07-24 10:05:00,,0.0132085899537,,,,,,,,SDR-203A,,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 10:05:00,2018-07-24 10:10:00,,,,,0.11811023622,2.149,,0.011,SDR-203A,-2.03088976378,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 08:50:00,,0.110952155611,,,,,,,,SDR-203A,,0.34,0.34,8.0,50.0,0.152,0.152,0.152,0.152,0.152,0.152
2018-07-25 08:50:00,2018-07-25 08:55:00,,,,,0.393700787402,4.112,,0.214,SDR-203A,-3.7182992126,0.34,0.34,8.0,50.0,0.152,0.152,0.152,0.152,0.152,0.152
2018-08-07 11:10:00,,0.147936207481,,,,,,,,SDR-203A,,0.22,0.22,8.0,50.0,0.051,0.051,0.051,0.051,0.051,0.051
2018-08-07 11:10:00,2018-08-07 11:15:00,,,,,0.236220472441,3.987,,0.063,SDR-203A,-3.75077952756,0.22,0.22,8.0,50.0,0.051,0.051,0.051,0.051,0.051,0.051
2018-08-20 13:20:00,2018-08-20 13:25:00,,,,,0.0,,,0.0,SDR-203A,,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 13:10:00,2018-09-04 13:15:00,,,,,0.0,3.738,,0.0,SDR-203A,-3.738,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-17 12:35:00,2018-09-17 12:40:00,,,,,0.0,3.251,,0.0,SDR-203A,-3.251,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
