Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-14 11:30:00,,0.0,,,,,,SDR-204A,,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 11:30:00,2018-05-14 11:35:00,,,,,-0.11811023622,4.831,SDR-204A,-4.94911023622,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 10:40:00,,0.0132085899537,,,,,,SDR-204A,,0.2,0.2,6.0,30.0,0.04,0.04,0.04,0.04,0.04,0.04
2018-05-25 10:40:00,2018-05-25 10:45:00,,,,,0.11811023622,5.123,SDR-204A,-5.00488976378,0.2,0.2,6.0,30.0,0.04,0.04,0.04,0.04,0.04,0.04
2018-06-12 09:30:00,2018-06-12 09:35:00,,,,,0.0,5.087,SDR-204A,-5.087,0.16,0.16,6.0,30.0,0.023,0.023,0.023,0.023,0.023,0.023
2018-06-25 12:15:00,2018-06-25 12:20:00,,,,,0.0,4.987,SDR-204A,-4.987,0.06,0.06,6.0,30.0,0.002,0.002,0.002,0.002,0.002,0.002
2018-07-10 12:50:00,2018-07-10 12:55:00,,,,,0.0,4.857,SDR-204A,-4.857,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 10:15:00,,41.2108006554,,,,,,SDR-204A,,2.98,2.98,6.0,30.0,34.773,34.773,34.773,34.773,34.773,34.773
2018-07-24 10:15:00,2018-07-24 10:20:00,,,,,3.14960629921,7.908,SDR-204A,-4.75839370079,2.98,2.98,6.0,30.0,34.773,34.773,34.773,34.773,34.773,34.773
2018-08-07 11:15:00,2018-08-07 11:20:00,,,,,0.0,5.012,SDR-204A,-5.012,0.09,0.09,6.0,30.0,0.005,0.005,0.005,0.005,0.005,0.005
2018-08-20 13:25:00,2018-08-20 13:30:00,,,,,0.0,,SDR-204A,,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 13:20:00,2018-09-04 13:25:00,,,,,0.0,4.78,SDR-204A,-4.78,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-17 12:40:00,2018-09-17 12:45:00,,,,,0.0,5.004,SDR-204A,-5.004,0.08,0.08,6.0,30.0,0.004,0.004,0.004,0.004,0.004,0.004
2018-09-27 14:35:00,2018-09-27 14:40:00,,,,,0.0,4.824,SDR-204A,-4.824,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
