Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-14 11:15:00,,3.15421128094,,,,,,,,SDR-207G,,0.54,0.54,8.0,72.0,0.482,0.482,0.482,0.482,0.482,0.482
2018-05-14 11:15:00,2018-05-14 11:20:00,,,,1.10236220472,1.14173228346,7.517,2.92,3.19,SDR-207G,-6.37526771654,0.54,0.54,8.0,72.0,0.482,0.482,0.482,0.482,0.482,0.482
2018-05-25 10:20:00,,3.97314385806,,,,,,,,SDR-207G,,0.82,0.82,8.0,72.0,1.37,1.37,1.37,1.37,1.37,1.37
2018-05-25 10:20:00,2018-05-25 10:25:00,,,,,1.06299212598,7.805,,2.664,SDR-207G,-6.74200787402,0.82,0.82,8.0,72.0,1.37,1.37,1.37,1.37,1.37,1.37
2018-06-11 09:20:00,,2.27187747203,,,,,,,,SDR-207G,,0.91,0.91,8.0,72.0,1.777,1.777,1.777,1.777,1.777,1.777
2018-06-11 09:20:00,2018-06-11 09:25:00,,,,,0.787401574803,7.892,,1.248,SDR-207G,-7.1045984252,0.91,0.91,8.0,72.0,1.777,1.777,1.777,1.777,1.777,1.777
2018-06-25 12:00:00,,3.51876836366,,,,,,,,SDR-207G,,0.99,0.99,8.0,72.0,2.194,2.194,2.194,2.194,2.194,2.194
2018-06-25 12:00:00,2018-06-25 12:05:00,,,,,1.02362204724,7.967,,2.422,SDR-207G,-6.94337795276,0.99,0.99,8.0,72.0,2.194,2.194,2.194,2.194,2.194,2.194
2018-07-10 12:30:00,,1.47407863883,,,,,,,,SDR-207G,,0.94,0.94,8.0,72.0,1.927,1.927,1.927,1.927,1.927,1.927
2018-07-10 12:30:00,2018-07-10 12:35:00,,,,,0.787401574803,7.922,,1.248,SDR-207G,-7.1345984252,0.94,0.94,8.0,72.0,1.927,1.927,1.927,1.927,1.927,1.927
2018-07-24 09:45:00,,1.29972525144,,,,,,,,SDR-207G,,0.84,0.84,8.0,72.0,1.455,1.455,1.455,1.455,1.455,1.455
2018-07-24 09:45:00,2018-07-24 09:50:00,,,,,0.708661417323,7.823,,0.955,SDR-207G,-7.11433858268,0.84,0.84,8.0,72.0,1.455,1.455,1.455,1.455,1.455,1.455
2018-08-07 10:55:00,,1.37369335518,,,,,,,,SDR-207G,,0.8,0.8,8.0,72.0,1.288,1.288,1.288,1.288,1.288,1.288
2018-08-07 10:55:00,2018-08-07 11:00:00,,,,,0.748031496063,2.124,,1.096,SDR-207G,-1.37596850394,0.8,0.8,8.0,72.0,1.288,1.288,1.288,1.288,1.288,1.288
2018-08-20 00:40:00,,1.15707247994,,,,,,,,SDR-207G,,1.2,1.2,8.0,72.0,3.623,3.623,3.623,3.623,3.623,3.623
2018-08-20 00:40:00,2018-08-20 00:45:00,,,,,0.629921259843,8.178,,0.709,SDR-207G,-7.54807874016,1.2,1.2,8.0,72.0,3.623,3.623,3.623,3.623,3.623,3.623
2018-09-04 12:50:00,,1.32085899537,,,,,,,,SDR-207G,,0.98,0.98,8.0,72.0,2.139,2.139,2.139,2.139,2.139,2.139
2018-09-04 12:50:00,2018-09-04 12:55:00,,,,,0.669291338583,7.957,,0.827,SDR-207G,-7.28770866142,0.98,0.98,8.0,72.0,2.139,2.139,2.139,2.139,2.139,2.139
2018-09-17 12:10:00,,0.914034424794,,,,,,,,SDR-207G,,0.61,0.61,8.0,72.0,0.654,0.654,0.654,0.654,0.654,0.654
2018-09-17 12:10:00,,0.914034424794,,,,,,,,SDR-207G,,0.61,0.61,8.0,72.0,0.654,0.654,0.654,0.654,0.654,0.654
2018-09-17 12:10:00,2018-09-17 12:15:00,,,,,0.590551181102,0.219,,0.601,SDR-207G,0.371551181102,0.61,0.61,8.0,72.0,0.654,0.654,0.654,0.654,0.654,0.654
2018-09-17 12:10:00,2018-09-17 12:15:00,,,,,0.590551181102,0.219,,0.601,SDR-207G,0.371551181102,0.61,0.61,8.0,72.0,0.654,0.654,0.654,0.654,0.654,0.654
2018-09-27 14:25:00,2018-09-27 14:30:00,,,,,0.0,7.696,,0.0,SDR-207G,-7.696,0.71,0.71,8.0,72.0,0.955,0.955,0.955,0.955,0.955,0.955
