Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-15 08:20:00,,0.0488717828286,,,,,,SDR-207L,,,,5.0,18.0,,,,,,
2018-05-15 08:20:00,2018-05-15 08:25:00,,,,0.275590551181,0.275590551181,,SDR-207L,,,,5.0,18.0,,,,,,
2018-05-25 11:30:00,2018-05-25 11:35:00,,,,,0.0,3.491,SDR-207L,-3.491,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-12 10:25:00,2018-06-12 10:30:00,,,,,0.0,-0.089,SDR-207L,0.089,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26 09:00:00,2018-06-26 09:05:00,,,,,0.0,0.313,SDR-207L,-0.313,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 12:00:00,2018-07-10 12:05:00,,,,,0.0,1.259,SDR-207L,-1.259,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 09:25:00,,0.0,,,,,,SDR-207L,,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 09:25:00,2018-07-25 09:30:00,,,,,0.0,4.047,SDR-207L,-4.047,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-07 08:15:00,2018-08-07 08:20:00,,,,,0.0,0.019,SDR-207L,-0.019,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 12:00:00,2018-08-21 12:05:00,,,,,0.0,4.344,SDR-207L,-4.344,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 10:00:00,2018-09-05 10:05:00,,,,,0.0,0.711,SDR-207L,-0.711,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 10:20:00,2018-09-18 10:25:00,,,,,-0.0787401574803,4.357,SDR-207L,-4.43574015748,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 15:20:00,2018-09-27 15:25:00,,,,,0.0,4.679,SDR-207L,-4.679,0.01,0.01,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
