Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-15 08:35:00,,0.0264171799073,,,,,,SDR-207M,,0.41,0.41,4.0,38.0,0.242,0.242,0.242,0.242,0.242,0.242
2018-05-15 08:35:00,2018-05-15 08:40:00,,,,0.275590551181,0.275590551181,4.286,SDR-207M,-4.01040944882,0.41,0.41,4.0,38.0,0.242,0.242,0.242,0.242,0.242,0.242
2018-05-25 11:10:00,,0.813649141146,,,,,,SDR-207M,,0.76,0.76,4.0,38.0,1.133,1.133,1.133,1.133,1.133,1.133
2018-05-25 11:10:00,2018-05-25 11:15:00,,,,,0.629921259843,4.635,SDR-207M,-4.00507874016,0.76,0.76,4.0,38.0,1.133,1.133,1.133,1.133,1.133,1.133
2018-06-12 10:10:00,2018-06-12 10:15:00,,,,,0.0,3.97,SDR-207M,-3.97,0.09,0.09,4.0,38.0,0.005,0.005,0.005,0.005,0.005,0.005
2018-06-26 09:15:00,,0.0211337439259,,,,,,SDR-207M,,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26 09:15:00,2018-06-26 09:20:00,,,,,0.196850393701,,SDR-207M,,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 09:10:00,,0.0,,,,,,SDR-207M,,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 09:10:00,2018-07-25 09:15:00,,,,,-0.393700787402,3.414,SDR-207M,-3.8077007874,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-07 08:00:00,2018-08-07 08:05:00,,,,,-1.37795275591,-0.617,SDR-207M,-0.760952755906,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 11:40:00,2018-08-21 11:45:00,,,,,-0.393700787402,3.544,SDR-207M,-3.9377007874,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 09:40:00,2018-09-05 09:45:00,,,,,-1.77165354331,2.024,SDR-207M,-3.79565354331,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 10:00:00,2018-09-18 10:05:00,,,,,-0.11811023622,-0.568,SDR-207M,0.44988976378,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
