Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 15:10:00,,3.9625769861,,,,,,,,SLR-152H,4.009,,,,,,,,,,,
2017-04-28 15:10:00,,,,,,1.25,5.394,,,SLR-152H,,-4.144,,,,,,,,,,
2017-05-10 08:30:00,,6.34012317776,,,,,,,,SLR-152H,6.096,,1.76,1.76,7.0,45.0,9.376,9.376,9.376,9.376,9.376,9.376
2017-05-10 08:30:00,,,,,,1.4887875,5.9,,,SLR-152H,,-4.4112125,1.76,1.76,7.0,45.0,9.376,9.376,9.376,9.376,9.376,9.376
2017-05-25 11:30:00,,3.50291805571,,,,,,,,SLR-152H,15.965,,1.28,1.28,7.0,45.0,4.252,4.252,4.252,4.252,4.252,4.252
2017-05-25 11:30:00,,,,,,2.183555,5.413,,,SLR-152H,,-3.229445,1.28,1.28,7.0,45.0,4.252,4.252,4.252,4.252,4.252,4.252
2017-06-07 10:30:00,,4.06560398774,,,,,,,,SLR-152H,2.306,,1.29,1.29,7.0,45.0,4.334,4.334,4.334,4.334,4.334,4.334
2017-06-07 10:30:00,,,,,,1.0,5.43,,,SLR-152H,,-4.43,1.29,1.29,7.0,45.0,4.334,4.334,4.334,4.334,4.334,4.334
2017-06-19 10:35:00,,3.42366651599,,,,,,,,SLR-152H,1.096,,1.06,1.06,7.0,45.0,2.664,2.664,2.664,2.664,2.664,2.664
2017-06-19 10:35:00,,,,,,0.75,-1.908,,,SLR-152H,,2.658,1.06,1.06,7.0,45.0,2.664,2.664,2.664,2.664,2.664,2.664
