Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-13 13:05:00,,99.9999801803,,,,,,,,,,,4.72,4.72,8.0,58.5,109.452,109.452,109.452,109.452,109.452,109.452
2016-05-24 11:10:00,,75.024848,,,,,,,,,,,4.0,4.0,8.0,58.5,72.432,72.432,72.432,72.432,72.432,72.432
2016-06-21 13:00:00,,82.421664,,,,,,,,,,,4.23,4.23,8.0,58.5,83.269,83.269,83.269,83.269,83.269,83.269
2016-07-25 11:40:00,,83.0863548387,,,,,,,,,,,4.27,4.27,8.0,58.5,85.247,85.247,85.247,85.247,85.247,85.247
2016-08-05 11:40:00,,68.68472,,,,,,,,,,,4.25,4.25,8.0,58.5,84.255,84.255,84.255,84.255,84.255,84.255
2016-08-25 11:45:00,,144.093818182,,,,,,,,,,,5.16,5.16,8.0,58.5,136.709,136.709,136.709,136.709,136.709,136.709
2016-09-26 11:35:00,,4.68390070922,,,,,,,,,,,3.74,3.74,8.0,58.5,61.256,61.256,61.256,61.256,61.256,61.256
2016-10-03 11:35:00,,48.0312727273,,,,,,,,,,,,,,,,,,,,
2017-04-28 14:25:00,,31.2078602014,,,,,,,,SLR-155,35.358,,,,,,,,,,,
2017-04-28 14:25:00,,,,,,3.0,6.185,,,SLR-155,,-3.185,,,,,,,,,,
2017-05-10 16:10:00,,11.4030992406,,,,,,,,SLR-155,12.566,,1.88,1.88,8.0,58.5,11.046,11.046,11.046,11.046,11.046,11.046
2017-05-10 16:10:00,,,,,,1.98505,5.063,,,SLR-155,,-3.07795,1.88,1.88,8.0,58.5,11.046,11.046,11.046,11.046,11.046,11.046
2017-05-25 08:30:00,,42.7324302181,,,,,,,,SLR-155,31.663,,3.34,3.34,8.0,58.5,46.204,46.204,46.204,46.204,46.204,46.204
2017-05-25 08:30:00,,,,,,2.875,6.524,,,SLR-155,,-3.649,3.34,3.34,8.0,58.5,46.204,46.204,46.204,46.204,46.204,46.204
2017-06-07 11:15:00,,36.2972051927,,,,,,,,SLR-155,22.452,,3.08,3.08,8.0,58.5,37.754,37.754,37.754,37.754,37.754,37.754
2017-06-07 11:15:00,,,,,,2.5,-1.553,,,SLR-155,,4.053,3.08,3.08,8.0,58.5,37.754,37.754,37.754,37.754,37.754,37.754
2017-06-19 11:25:00,,8.93957368064,,,,,,,,SLR-155,4.009,,1.95,1.95,8.0,58.5,12.098,12.098,12.098,12.098,12.098,12.098
2017-06-19 11:25:00,,,,,,1.25,,,,SLR-155,,,1.95,1.95,8.0,58.5,12.098,12.098,12.098,12.098,12.098,12.098
2017-07-06 10:45:00,,6.51063993804,,,,,,,,SLR-155,6.302,,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,6.25849069049,,,,,,,,SLR-155,6.302,,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,6.61006292004,,,,,,,,SLR-155,6.302,,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-06 10:45:00,,,,,,1.5,4.848,,,SLR-155,,-3.348,1.66,1.66,8.0,58.5,8.107,8.107,8.107,8.107,8.107,8.107
2017-07-20 14:30:00,,3.68404533291,,,,,,,,SLR-155,5.032,,1.27,1.27,8.0,58.5,4.17,4.17,4.17,4.17,4.17,4.17
2017-07-20 14:30:00,,,,,,1.37795275591,4.458,,,SLR-155,,-3.08004724409,1.27,1.27,8.0,58.5,4.17,4.17,4.17,4.17,4.17,4.17
2017-08-03 11:40:00,,6.72782855194,,,,,,,,SLR-155,6.199,,1.59,1.59,8.0,58.5,7.284,7.284,7.284,7.284,7.284,7.284
2017-08-03 11:40:00,,,,,,1.49606299213,4.779,,,SLR-155,,-3.28293700787,1.59,1.59,8.0,58.5,7.284,7.284,7.284,7.284,7.284,7.284
2017-08-03 11:50:00,,0.0,,,,,,,,SLR-155,6.199,,1.58,1.58,8.0,58.5,7.171,7.171,7.171,7.171,7.171,7.171
2017-08-03 11:50:00,,,,,,1.49606299213,-0.972,,,SLR-155,,2.46806299213,1.58,1.58,8.0,58.5,7.171,7.171,7.171,7.171,7.171,7.171
2017-08-17 13:00:00,,5.28343598147,,,,,,,,SLR-155,5.032,,1.53,1.53,8.0,58.5,6.62,6.62,6.62,6.62,6.62,6.62
2017-08-17 13:00:00,,,,,,1.37795275591,4.718,,,SLR-155,,-3.34004724409,1.53,1.53,8.0,58.5,6.62,6.62,6.62,6.62,6.62,6.62
2017-08-17 13:10:00,,5.28343598147,,,,,,,,SLR-155,5.032,,1.35,1.35,8.0,58.5,4.852,4.852,4.852,4.852,4.852,4.852
2017-08-17 13:10:00,,,,,,1.37795275591,4.535,,,SLR-155,,-3.15704724409,1.35,1.35,8.0,58.5,4.852,4.852,4.852,4.852,4.852,4.852
2017-08-29 13:25:00,,6.14236886314,,,,,,,,SLR-155,5.405,,1.39,1.39,8.0,58.5,5.217,5.217,5.217,5.217,5.217,5.217
2017-08-29 13:25:00,,,,,,1.41732283465,4.574,,,SLR-155,,-3.15667716535,1.39,1.39,8.0,58.5,5.217,5.217,5.217,5.217,5.217,5.217
2017-08-29 13:35:00,,0.0,,,,,,,,SLR-155,5.405,,1.42,1.42,8.0,58.5,5.501,5.501,5.501,5.501,5.501,5.501
2017-08-29 13:35:00,,,,,,1.41732283465,4.605,,,SLR-155,,-3.18767716535,1.42,1.42,8.0,58.5,5.501,5.501,5.501,5.501,5.501,5.501
2017-09-19 14:45:00,,6.31370599785,,,,,,,,SLR-155,5.994,,1.23,1.23,8.0,58.5,3.851,3.851,3.851,3.851,3.851,3.851
2017-09-19 14:45:00,,,,,,1.47637795276,4.414,,,SLR-155,,-2.93762204724,1.23,1.23,8.0,58.5,3.851,3.851,3.851,3.851,3.851,3.851
2017-09-19 14:55:00,,0.0,,,,,,,,SLR-155,5.994,,1.29,1.29,8.0,58.5,4.334,4.334,4.334,4.334,4.334,4.334
2017-09-19 14:55:00,,,,,,1.47637795276,4.472,,,SLR-155,,-2.99562204724,1.29,1.29,8.0,58.5,4.334,4.334,4.334,4.334,4.334,4.334
2017-10-04 11:15:00,,8.26239456676,,,,,,,,SLR-155,7.986,,,,,,,,,,,
2017-10-04 11:15:00,,,,,,1.65354330709,4.741,,,SLR-155,,-3.08745669291,,,,,,,,,,
2018-05-14 10:45:00,,10.6989578625,,,,,,,,SLR-155,,,1.67,1.67,8.0,59.0,8.229,8.229,8.229,8.229,8.229,8.229
2018-05-14 10:45:00,2018-05-14 10:50:00,,,,,1.77165354331,7.52,,9.509,SLR-155,,-5.74834645669,1.67,1.67,8.0,59.0,8.229,8.229,8.229,8.229,8.229,8.229
2018-05-25 14:40:00,,59.1744829924,,,,,,,,SLR-155,,,3.21,3.21,8.0,59.0,41.851,41.851,41.851,41.851,41.851,41.851
2018-05-25 14:40:00,2018-05-25 14:45:00,,,,,3.38582677165,9.06,,47.948,SLR-155,,-5.67417322835,3.21,3.21,8.0,59.0,41.851,41.851,41.851,41.851,41.851,41.851
2018-06-12 14:25:00,,36.4557082721,,,,,,,,SLR-155,,,2.77,2.77,8.0,59.0,28.986,28.986,28.986,28.986,28.986,28.986
2018-06-12 14:25:00,,36.4557082721,,,,,,,,SLR-155,,,2.77,2.77,8.0,59.0,28.986,28.986,28.986,28.986,28.986,28.986
