Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-12 10:10:00,,,0.0132086,,,,,,,,,,,,0.47,0.47,5.0,34.0,0.341,0.341,0.341,0.341,0.341,0.341
2016-05-12 10:20:00,,,0.02509634,,,,,,,,,,,,0.31,0.31,5.0,34.0,0.12,0.12,0.12,0.12,0.12,0.12
2016-05-23 10:25:00,,,0.03698408,,,,,,,,,,,,0.3,0.3,5.0,34.0,0.111,0.111,0.111,0.111,0.111,0.111
2016-06-27 10:45:00,,,0.10434794,,,,,,,,,,,,0.4,0.4,5.0,34.0,0.228,0.228,0.228,0.228,0.228,0.228
2016-07-21 09:40:00,,,0.05811784,,,,,,,,,,,,0.74,0.74,5.0,34.0,1.06,1.06,1.06,1.06,1.06,1.06
2016-08-04 09:50:00,,,0.05019268,,,,,,,,,,,,0.59,0.59,5.0,34.0,0.601,0.601,0.601,0.601,0.601,0.601
2016-08-09 08:40:00,,,0.0132086,,,,,,,,,,,,0.44,0.44,5.0,34.0,0.289,0.289,0.289,0.289,0.289,0.289
2016-08-24 11:45:00,,,0.6538257,,,,,,,,,,,,0.27,0.27,5.0,34.0,0.085,0.085,0.085,0.085,0.085,0.085
2016-09-22 10:15:00,,,0.0,,,,,,,,,,,,0.47,,5.0,34.0,0.341,,0.341,,0.341,
2016-10-05 08:00:00,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-04-28 11:40:00,,,2.95495026678,,,,,,,,,SWT-030,3.26,,,,,,,,,,,
2017-04-28 11:40:00,,,,,,,,,1.151329,5.686,,SWT-030,,-4.534671,,,,,,,,,,
2017-05-30 12:00:00,,,3.70897205899,,,,,,,,,SWT-030,1.588,,0.93,0.93,5.0,34.0,1.876,1.876,1.876,1.876,1.876,1.876
2017-05-30 12:00:00,,,,,,,,,0.875,5.82,,SWT-030,,-4.945,0.93,0.93,5.0,34.0,1.876,1.876,1.876,1.876,1.876,1.876
2017-06-08 10:20:00,,,2.75795358233,,,,,,,,,SWT-030,1.096,,1.14,1.14,5.0,34.0,3.19,3.19,3.19,3.19,3.19,3.19
2017-06-08 10:20:00,,,,,,,,,0.75,6.028,,SWT-030,,-5.278,1.14,1.14,5.0,34.0,3.19,3.19,3.19,3.19,3.19,3.19
2017-06-21 11:10:00,,,7.98855520398,,,,,,,,,SWT-030,10.901,,1.84,1.84,5.0,34.0,10.471,10.471,10.471,10.471,10.471,10.471
2017-06-21 11:10:00,,,,,,,,,1.875,6.734,,SWT-030,,-4.859,1.84,1.84,5.0,34.0,10.471,10.471,10.471,10.471,10.471,10.471
2017-07-06 09:35:00,,,0.0,,,,,,,,,SWT-030,,,1.85,1.85,5.0,34.0,10.613,10.613,10.613,10.613,10.613,10.613
2017-07-06 09:35:00,,,,,,,,,1.0236226,6.742,,SWT-030,,-5.7183774,1.85,1.85,5.0,34.0,10.613,10.613,10.613,10.613,10.613,10.613
2017-07-06 09:40:00,,,2.49762428215,,,,,,,,,SWT-030,2.422,,1.89,1.89,5.0,34.0,11.193,11.193,11.193,11.193,11.193,11.193
2017-07-06 09:40:00,,,,,,,,,1.0236226,6.786,,SWT-030,,-5.7623774,1.89,1.89,5.0,34.0,11.193,11.193,11.193,11.193,11.193,11.193
2017-07-12 13:55:00,,,3.75123954684,,,,,,,,,SWT-030,3.475,,1.53,1.53,5.0,34.0,6.62,6.62,6.62,6.62,6.62,6.62
2017-07-12 13:55:00,,,,,,,,,1.1811023622,6.418,,SWT-030,,-5.2368976378,1.53,1.53,5.0,34.0,6.62,6.62,6.62,6.62,6.62,6.62
2017-07-20 15:05:00,,,2.21904311222,,,,,,,,,SWT-030,1.209,,0.7,0.7,5.0,34.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-07-20 15:05:00,,,,,,,,,0.787401574803,5.59,,SWT-030,,-4.8025984252,0.7,0.7,5.0,34.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-07-20 15:15:00,,,0.0,,,,,,,,,SWT-030,1.209,,0.7,0.7,5.0,34.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-07-20 15:15:00,,,,,,,,,0.787401574803,5.59,,SWT-030,,-4.8025984252,0.7,0.7,5.0,34.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-08-03 08:40:00,,,1.99261014158,,,,,,,,,SWT-030,2.139,,0.66,,5.0,34.0,0.796,,0.796,,0.796,
2017-08-03 08:40:00,,,,,,,,,0.984251968504,5.55,,SWT-030,,-4.5657480315,0.66,,5.0,34.0,0.796,,0.796,,0.796,
2017-08-17 09:30:00,,,1.66845346783,,,,,,,,,SWT-030,1.37,,0.64,0.64,5.0,34.0,0.737,0.737,0.737,0.737,0.737,0.737
2017-08-17 09:30:00,,,,,,,,,0.826771653543,5.53,,SWT-030,,-4.70322834646,0.64,0.64,5.0,34.0,0.737,0.737,0.737,0.737,0.737,0.737
