,ns1:name3,ns1:coordinates,lng,lat
1,MS4-SLR-095,"-117.0976335,33.22138214,0",-117.0976335,33.22138214
2,MS4-SLR-095,"-117.0976335,33.22138214,0",-117.0976335,33.22138214
3,MS4-SLR-095,"-117.0976335,33.22138214,0",-117.0976335,33.22138214
4,MS4-SLR-095,"-117.0976335,33.22138214,0",-117.0976335,33.22138214
5,MS4-SLR-095,"-117.0976335,33.22138214,0",-117.0976335,33.22138214
6,MS4-SLR-095,"-117.0976335,33.22138214,0",-117.0976335,33.22138214
7,MS4-CAR-069,"-117.2042605,33.1259099,0",-117.2042605,33.1259099
8,MS4-CAR-069,"-117.2042605,33.1259099,0",-117.2042605,33.1259099
9,MS4-CAR-069,"-117.2042605,33.1259099,0",-117.2042605,33.1259099
10,MS4-CAR-069,"-117.2042605,33.1259099,0",-117.2042605,33.1259099
11,MS4-CAR-069,"-117.2042605,33.1259099,0",-117.2042605,33.1259099
12,MS4-CAR-069,"-117.2042605,33.1259099,0",-117.2042605,33.1259099
13,MS4-CAR-070,"-117.2049167,33.12623797,0",-117.2049167,33.12623797
14,MS4-CAR-070,"-117.2049167,33.12623797,0",-117.2049167,33.12623797
15,MS4-CAR-070,"-117.2049167,33.12623797,0",-117.2049167,33.12623797
16,MS4-CAR-070,"-117.2049167,33.12623797,0",-117.2049167,33.12623797
17,MS4-CAR-070,"-117.2049167,33.12623797,0",-117.2049167,33.12623797
18,MS4-CAR-070,"-117.2049167,33.12623797,0",-117.2049167,33.12623797
19,MS4-CAR-072,"-117.2098379,33.1200044,0",-117.2098379,33.1200044
20,MS4-CAR-072,"-117.2098379,33.1200044,0",-117.2098379,33.1200044
21,MS4-CAR-072,"-117.2098379,33.1200044,0",-117.2098379,33.1200044
22,MS4-CAR-072,"-117.2098379,33.1200044,0",-117.2098379,33.1200044
23,MS4-CAR-072,"-117.2098379,33.1200044,0",-117.2098379,33.1200044
24,MS4-CAR-072,"-117.2098379,33.1200044,0",-117.2098379,33.1200044
25,MS4-CAR-072O,"-117.2154154,33.12525372,0",-117.2154154,33.12525372
26,MS4-CAR-072O,"-117.2154154,33.12525372,0",-117.2154154,33.12525372
27,MS4-CAR-072O,"-117.2154154,33.12525372,0",-117.2154154,33.12525372
28,MS4-CAR-072O,"-117.2154154,33.12525372,0",-117.2154154,33.12525372
29,MS4-CAR-072O,"-117.2154154,33.12525372,0",-117.2154154,33.12525372
30,MS4-CAR-072O,"-117.2154154,33.12525372,0",-117.2154154,33.12525372
31,MS4-CAR-072B,"-117.2104941,33.1200044,0",-117.2104941,33.1200044
32,MS4-CAR-072B,"-117.2104941,33.1200044,0",-117.2104941,33.1200044
33,MS4-CAR-072B,"-117.2104941,33.1200044,0",-117.2104941,33.1200044
34,MS4-CAR-072B,"-117.2104941,33.1200044,0",-117.2104941,33.1200044
35,MS4-CAR-072B,"-117.2104941,33.1200044,0",-117.2104941,33.1200044
36,MS4-CAR-072B,"-117.2104941,33.1200044,0",-117.2104941,33.1200044
37,SLR-045,"-117.1438932,33.23319315,0",-117.1438932,33.23319315
38,SLR-045,"-117.1438932,33.23319315,0",-117.1438932,33.23319315
39,SLR-045,"-117.1438932,33.23319315,0",-117.1438932,33.23319315
40,SLR-045,"-117.1438932,33.23319315,0",-117.1438932,33.23319315
41,SLR-045,"-117.1438932,33.23319315,0",-117.1438932,33.23319315
42,SLR-045,"-117.1438932,33.23319315,0",-117.1438932,33.23319315
43,MS4-SLR-150,"-117.2170558,33.28371798,0",-117.2170558,33.28371798
44,MS4-SLR-150,"-117.2170558,33.28371798,0",-117.2170558,33.28371798
45,MS4-SLR-150,"-117.2170558,33.28371798,0",-117.2170558,33.28371798
46,MS4-SLR-150,"-117.2170558,33.28371798,0",-117.2170558,33.28371798
47,MS4-SLR-150,"-117.2170558,33.28371798,0",-117.2170558,33.28371798
48,MS4-SLR-150,"-117.2170558,33.28371798,0",-117.2170558,33.28371798
49,MS4-SDG-077,"-117.1087883,33.01895472,0",-117.1087883,33.01895472
50,MS4-SDG-077,"-117.1087883,33.01895472,0",-117.1087883,33.01895472
51,MS4-SDG-077,"-117.1087883,33.01895472,0",-117.1087883,33.01895472
52,MS4-SDG-077,"-117.1087883,33.01895472,0",-117.1087883,33.01895472
53,MS4-SDG-077,"-117.1087883,33.01895472,0",-117.1087883,33.01895472
54,MS4-SDG-077,"-117.1087883,33.01895472,0",-117.1087883,33.01895472
55,MS4-SDG-080,"-117.1160061,33.00287865,0",-117.1160061,33.00287865
56,MS4-SDG-080,"-117.1160061,33.00287865,0",-117.1160061,33.00287865
57,MS4-SDG-080,"-117.1160061,33.00287865,0",-117.1160061,33.00287865
58,MS4-SDG-080,"-117.1160061,33.00287865,0",-117.1160061,33.00287865
59,MS4-SDG-080,"-117.1160061,33.00287865,0",-117.1160061,33.00287865
60,MS4-SDG-080,"-117.1160061,33.00287865,0",-117.1160061,33.00287865
61,MS4-SDG-084,"-117.1107568,33.01797047,0",-117.1107568,33.01797047
62,MS4-SDG-084,"-117.1107568,33.01797047,0",-117.1107568,33.01797047
63,MS4-SDG-084,"-117.1107568,33.01797047,0",-117.1107568,33.01797047
64,MS4-SDG-084,"-117.1107568,33.01797047,0",-117.1107568,33.01797047
65,MS4-SDG-084,"-117.1107568,33.01797047,0",-117.1107568,33.01797047
66,MS4-SDG-084,"-117.1107568,33.01797047,0",-117.1107568,33.01797047
67,MS4-SDG-085,"-117.1153463,33.01862051,0",-117.1153463,33.01862051
68,MS4-SDG-085,"-117.1153463,33.01862051,0",-117.1153463,33.01862051
69,MS4-SDG-085,"-117.1153463,33.01862051,0",-117.1153463,33.01862051
70,MS4-SDG-085,"-117.1153463,33.01862051,0",-117.1153463,33.01862051
71,MS4-SDG-085,"-117.1153463,33.01862051,0",-117.1153463,33.01862051
72,MS4-SDG-085,"-117.1153463,33.01862051,0",-117.1153463,33.01862051
73,MS4-SDG-115,"-117.1573446,33.04093631,0",-117.1573446,33.04093631
74,MS4-SDG-115,"-117.1573446,33.04093631,0",-117.1573446,33.04093631
75,MS4-SDG-115,"-117.1573446,33.04093631,0",-117.1573446,33.04093631
76,MS4-SDG-115,"-117.1573446,33.04093631,0",-117.1573446,33.04093631
77,MS4-SDG-115,"-117.1573446,33.04093631,0",-117.1573446,33.04093631
78,MS4-SDG-115,"-117.1573446,33.04093631,0",-117.1573446,33.04093631
79,MS4-SDR-098,"-116.91602,32.84115,0",-116.91602,32.84115
80,MS4-SDR-098,"-116.91602,32.84115,0",-116.91602,32.84115
81,MS4-SDR-098,"-116.91602,32.84115,0",-116.91602,32.84115
82,MS4-SDR-098,"-116.91602,32.84115,0",-116.91602,32.84115
83,MS4-SDR-098,"-116.91602,32.84115,0",-116.91602,32.84115
84,MS4-SDR-098,"-116.91602,32.84115,0",-116.91602,32.84115
85,MS4-SDR-127,"-116.88416,32.84912,0",-116.88416,32.84912
86,MS4-SDR-127,"-116.88416,32.84912,0",-116.88416,32.84912
87,MS4-SDR-127,"-116.88416,32.84912,0",-116.88416,32.84912
88,MS4-SDR-127,"-116.88416,32.84912,0",-116.88416,32.84912
89,MS4-SDR-127,"-116.88416,32.84912,0",-116.88416,32.84912
90,MS4-SDR-127,"-116.88416,32.84912,0",-116.88416,32.84912
91,MS4-SDG-085M,"-117.1150219,33.01633006,0",-117.1150219,33.01633006
92,MS4-SDG-085M,"-117.1150219,33.01633006,0",-117.1150219,33.01633006
93,MS4-SDG-085M,"-117.1150219,33.01633006,0",-117.1150219,33.01633006
94,MS4-SDG-085M,"-117.1150219,33.01633006,0",-117.1150219,33.01633006
95,MS4-SDG-085M,"-117.1150219,33.01633006,0",-117.1150219,33.01633006
96,MS4-SDG-085M,"-117.1150219,33.01633006,0",-117.1150219,33.01633006
97,MS4-SDR-127B,"-116.8822099,32.85234013,0",-116.8822099,32.85234013
98,MS4-SDR-127B,"-116.8822099,32.85234013,0",-116.8822099,32.85234013
99,MS4-SDR-127B,"-116.8822099,32.85234013,0",-116.8822099,32.85234013
100,MS4-SDR-127B,"-116.8822099,32.85234013,0",-116.8822099,32.85234013
101,MS4-SDR-127B,"-116.8822099,32.85234013,0",-116.8822099,32.85234013
102,MS4-SDR-127B,"-116.8822099,32.85234013,0",-116.8822099,32.85234013
103,MS4-SDR-203A,"-116.89487,32.82871,0",-116.89487,32.82871
104,MS4-SDR-203A,"-116.89487,32.82871,0",-116.89487,32.82871
105,MS4-SDR-203A,"-116.89487,32.82871,0",-116.89487,32.82871
106,MS4-SDR-203A,"-116.89487,32.82871,0",-116.89487,32.82871
107,MS4-SDR-203A,"-116.89487,32.82871,0",-116.89487,32.82871
108,MS4-SDR-203A,"-116.89487,32.82871,0",-116.89487,32.82871
109,MS4-SDR-204A,"-116.89491,32.82869,0",-116.89491,32.82869
110,MS4-SDR-204A,"-116.89491,32.82869,0",-116.89491,32.82869
111,MS4-SDR-204A,"-116.89491,32.82869,0",-116.89491,32.82869
112,MS4-SDR-204A,"-116.89491,32.82869,0",-116.89491,32.82869
113,MS4-SDR-204A,"-116.89491,32.82869,0",-116.89491,32.82869
114,MS4-SDR-204A,"-116.89491,32.82869,0",-116.89491,32.82869
115,SLR-045A,"-117.1422528,33.23319314,0",-117.1422528,33.23319314
116,SLR-045A,"-117.1422528,33.23319314,0",-117.1422528,33.23319314
117,SLR-045A,"-117.1422528,33.23319314,0",-117.1422528,33.23319314
118,SLR-045A,"-117.1422528,33.23319314,0",-117.1422528,33.23319314
119,SLR-045A,"-117.1422528,33.23319314,0",-117.1422528,33.23319314
120,SLR-045A,"-117.1422528,33.23319314,0",-117.1422528,33.23319314
127,MS4-SDG-080C,"-117.1143657,33.00583139,0",-117.1143657,33.00583139
128,MS4-SDG-080C,"-117.1143657,33.00583139,0",-117.1143657,33.00583139
129,MS4-SDG-080C,"-117.1143657,33.00583139,0",-117.1143657,33.00583139
130,MS4-SDG-080C,"-117.1143657,33.00583139,0",-117.1143657,33.00583139
131,MS4-SDG-080C,"-117.1143657,33.00583139,0",-117.1143657,33.00583139
132,MS4-SDG-080C,"-117.1143657,33.00583139,0",-117.1143657,33.00583139
133,MS4-SDG-080F,"-117.115678,33.00812797,0",-117.115678,33.00812797
134,MS4-SDG-080F,"-117.115678,33.00812797,0",-117.115678,33.00812797
135,MS4-SDG-080F,"-117.115678,33.00812797,0",-117.115678,33.00812797
136,MS4-SDG-080F,"-117.115678,33.00812797,0",-117.115678,33.00812797
137,MS4-SDG-080F,"-117.115678,33.00812797,0",-117.115678,33.00812797
