Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-05-25 14:55:00,,0.0,,,,,,SDG-074,0.0,,0.0,,4.0,60.0,0.0,,0.0,,0.0,
2017-06-08 16:15:00,,0.0,,,,,,SDG-074,0.0,,0.0,,4.0,60.0,0.0,,0.0,,0.0,
2017-06-19 18:15:00,,0.0,,,,,,SDG-074,,,0.0,,4.0,60.0,0.0,,0.0,,0.0,
2017-06-20 10:45:00,,2.06054003277,,,,,,SDG-074,1.096,,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 11:00:00,,1.60104120651,,,,,,SDG-074,1.588,,0.18,0.18,4.0,60.0,0.031,0.031,0.031,0.031,0.031,0.031
2017-07-07 11:00:00,,1.7064513729,,,,,,SDG-074,1.588,,0.18,0.18,4.0,60.0,0.031,0.031,0.031,0.031,0.031,0.031
2017-07-07 11:00:00,,1.76382999991,,,,,,SDG-074,1.588,,0.18,0.18,4.0,60.0,0.031,0.031,0.031,0.031,0.031,0.031
2017-07-13 13:50:00,,0.182278541361,,,,,,SDG-074,0.214,,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 08:15:00,,2.08851116444,,,,,,SDG-074,3.774,,0.72,0.72,4.0,60.0,0.989,0.989,0.989,0.989,0.989,0.989
2017-08-04 10:45:00,,3.71394470462,,,,,,SDG-074,3.475,,0.94,0.94,4.0,60.0,1.927,1.927,1.927,1.927,1.927,1.927
2017-08-04 10:50:00,,0.0,,,,,,SDG-074,3.475,,0.93,0.93,4.0,60.0,1.876,1.876,1.876,1.876,1.876,1.876
2017-08-18 12:35:00,,0.0,,,,,,SDG-074,,,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 12:45:00,,0.0,,,,,,SDG-074,,,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-22 14:00:00,,0.0,,,,,,SDG-074,0.341,,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-30 10:40:00,,1.68083859432,,,,,,SDG-074,1.209,,0.5,0.5,4.0,60.0,0.398,0.398,0.398,0.398,0.398,0.398
2017-08-30 10:50:00,,0.0,,,,,,SDG-074,1.209,,0.84,0.84,4.0,60.0,1.455,1.455,1.455,1.455,1.455,1.455
2017-09-20 10:40:00,,2.63358962769,,,,,,SDG-074,2.139,,1.1,1.1,4.0,60.0,2.92,2.92,2.92,2.92,2.92,2.92
2017-09-20 10:45:00,,0.0,,,,,,SDG-074,2.139,,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-20 14:05:00,,1.47181430912,,,,,,SDG-074,1.209,,0.87,0.87,4.0,60.0,1.588,1.588,1.588,1.588,1.588,1.588
2017-10-05 12:50:00,,4.4556976777,,,,,,SDG-074,4.334,,,,,,,,,,,
2018-05-14 00:20:00,,0.0,,,,,,SDG-074,,,,,6.0,73.0,,,,,,
2018-05-16 08:45:00,,10.831043762,,,,,,SDG-074,,,1.59,1.59,6.0,73.0,7.284,7.284,7.284,7.284,7.284,7.284
2018-05-29 09:30:00,,2.37754619166,,,,,,SDG-074,,,1.27,1.27,6.0,73.0,4.17,4.17,4.17,4.17,4.17,4.17
2018-06-11 14:55:00,,10.5668719629,,,,,,SDG-074,,,1.79,1.79,6.0,73.0,9.778,9.778,9.778,9.778,9.778,9.778
2018-06-25 14:45:00,,14.5822833088,,,,,,SDG-074,,,2.26,2.26,6.0,73.0,17.464,17.464,17.464,17.464,17.464,17.464
2018-07-11 12:10:00,,4.55696353402,,,,,,SDG-074,,,1.71,1.71,6.0,73.0,8.728,8.728,8.728,8.728,8.728,8.728
2018-07-24 14:45:00,,18.4920259351,,,,,,SDG-074,,,2.02,2.02,6.0,73.0,13.207,13.207,13.207,13.207,13.207,13.207
2018-08-07 11:15:00,,6.70996369646,,,,,,SDG-074,,,1.47,1.47,6.0,73.0,5.994,5.994,5.994,5.994,5.994,5.994
2018-08-21 09:10:00,,12.3632401966,13.4727617527,12.6802463555,,,,SDG-074,,,1.87,1.87,6.0,73.0,10.901,10.901,10.901,10.901,10.901,10.901
2018-09-04 16:50:00,,22.1904311222,,,,,,SDG-074,,,2.65,2.65,6.0,73.0,25.958,25.958,25.958,25.958,25.958,25.958
2018-09-17 13:00:00,,4.66703511696,,,,,,SDG-074,,,1.24,1.24,6.0,73.0,3.93,3.93,3.93,3.93,3.93,3.93
