Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-19 11:20:00,,,0.601,,,,,,,,,,,,,,0.76,0.76,9.0,37.0,1.133,1.133,1.133,1.133,1.133,1.133
2016-05-25 12:35:00,,,0.418,,,,,,,,,,,,,,1.74,1.74,9.0,37.0,9.113,9.113,9.113,9.113,9.113,9.113
2016-06-22 15:25:00,,,0.505,,,,,,,,,,,,,,1.21,1.21,9.0,37.0,3.698,3.698,3.698,3.698,3.698,3.698
2016-08-08 09:10:00,,,0.922,,,,,,,,,,,,,,1.17,1.17,9.0,37.0,3.402,3.402,3.402,3.402,3.402,3.402
2016-08-26 14:20:00,,,0.0,,,,,,,,,,,,,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-23 09:55:00,,,0.163,,,,,,,,,,,,,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-04 13:25:00,,,0.057,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28 10:35:00,,,0.338139902814,,,,,,,,,,,SDG-084,0.398,,,,,,,,,,,
2017-05-09 15:20:00,,,1.75572641846,,,,,,,,,,,SDG-084,0.601,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-09 15:20:00,,,,,,,,,0.595515,3.275,,,,SDG-084,,-2.679485,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-12 16:55:00,,,1.47529789329,,,,,,,,,,,SDG-084,0.601,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-12 16:55:00,,,,,,,,,0.5905515,3.116,,,,SDG-084,,-2.5254485,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-25 15:45:00,,,0.895542398859,,,,,,,,,,,SDG-084,0.398,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-25 15:45:00,,,,,,,,,0.5,2.591,,,,SDG-084,,-2.091,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 15:45:00,,,0.35927364674,,,,,,,,,,,SDG-084,0.07,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 15:45:00,,,,,,,,,0.25,2.792,,,,SDG-084,,-2.542,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 10:25:00,,,0.306439286925,,,,,,,,,,,SDG-084,0.07,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 10:25:00,,,,,,,,,0.25,-5.172,,,,SDG-084,,5.422,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 09:20:00,,,0.121519027574,,,,,,,,,,,SDG-084,0.398,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 09:20:00,,,0.121519027574,,,,,,,,,,,SDG-084,0.398,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 09:20:00,,,,,,,,,0.5,2.873,,,,SDG-084,,-2.373,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 09:20:00,,,,,,,,,0.5,2.873,,,,SDG-084,,-2.373,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 09:20:00,,,,,,,,,0.5,2.873,,,,SDG-084,,-2.373,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 09:20:00,,,,,,,,,0.5,2.873,,,,SDG-084,,-2.373,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 09:00:00,,,1.71471513217,,,,,,,,,,,SDG-084,2.422,,0.87,0.87,9.0,37.0,1.588,1.588,1.588,1.588,1.588,1.588
2017-07-20 09:00:00,,,,,,,,,1.02362204724,4.141,,,,SDG-084,,-3.11737795276,0.87,0.87,9.0,37.0,1.588,1.588,1.588,1.588,1.588,1.588
2017-08-04 10:20:00,,,0.372386752911,,,,,,,,,,,SDG-084,0.601,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04 10:20:00,,,,,,,,,0.590551181102,3.183,,,,SDG-084,,-2.5924488189,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04 10:30:00,,,0.0,,,,,,,,,,,SDG-084,0.214,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04 10:30:00,,,,,,,,,0.393700787402,1.362,,,,SDG-084,,-0.968299212598,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 12:10:00,,,0.185564580812,,,,,,,,,,,SDG-084,0.214,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 12:10:00,,,,,,,,,0.393700787402,3.158,,,,SDG-084,,-2.7642992126,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 12:25:00,,,0.0,,,,,,,,,,,SDG-084,0.057,,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 12:25:00,,,,,,,,,0.236220472441,2.833,,,,SDG-084,,-2.59677952756,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-30 11:45:00,,,0.134727617527,,,,,,,,,,,SDG-084,0.505,,0.23,0.23,9.0,37.0,0.057,0.057,0.057,0.057,0.057,0.057
