Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 09:30:00,,0.0,,,,,,,SDR-097,0.0,,,,,,,,,,,
2017-05-11 13:50:00,,0.0,,,,,,,SDR-097,0.0,,,,8.0,52.0,,,,,,
2017-05-30 09:40:00,,0.0,,,,,,,SDR-097,0.0,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 13:25:00,,0.0,,,,,,,SDR-097,0.0,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 13:00:00,,0.121519027574,,,,,,,SDR-097,0.011,,0.61,0.61,8.0,52.0,0.654,0.654,0.654,0.654,0.654,0.654
2017-07-06 13:30:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 10:00:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:00:00,,0.0,,,,,,,SDR-097,0.0,,,,8.0,52.0,,,,,,
2017-08-17 11:25:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 12:55:00,,0.0,,,,,,,SDR-097,0.0,,0.12,0.12,8.0,52.0,0.011,0.011,0.011,0.011,0.011,0.011
2017-09-19 13:55:00,,0.0,,,,,,,SDR-097,0.0,,0.15,0.15,8.0,52.0,0.02,0.02,0.02,0.02,0.02,0.02
2017-10-03 12:30:00,,0.0,,,,,,,SDR-097,0.0,,,,,,,,,,,
2018-05-14 00:55:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-17 15:05:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 13:25:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
