Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 09:40:00,,0.0,,,,,,,,,SDR-754,0.0,,,,,,,,,,,
2017-05-11 13:45:00,,0.0,,,,,,,,,SDR-754,0.0,,,,6.0,18.0,,,,,,
2017-05-30 09:25:00,,0.079251539722,,,,,,,,,SDR-754,0.031,,0.46,0.46,6.0,18.0,0.323,0.323,0.323,0.323,0.323,0.323
2017-06-08 12:15:00,,0.0,,,,,,,,,SDR-754,0.0,,0.23,0.23,6.0,18.0,0.057,0.057,0.057,0.057,0.057,0.057
2017-06-20 12:55:00,,0.0,,,,,,,,,SDR-754,0.0,,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 13:20:00,,0.0,,,,,,,,,SDR-754,,,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 09:50:00,,0.00264171799073,,,,,,,,,SDR-754,0.057,,0.33,0.33,6.0,18.0,0.141,0.141,0.141,0.141,0.141,0.141
2017-07-20 10:00:00,,0.0,,,,,,,,,SDR-754,0.163,,0.27,0.27,6.0,18.0,0.085,0.085,0.085,0.085,0.085,0.085
2017-08-03 11:55:00,,0.0,,,,,,,,,SDR-754,0.0,,,,6.0,18.0,,,,,,
2017-08-17 11:15:00,,0.0264171799073,,,,,,,,,SDR-754,0.057,,0.43,0.43,6.0,18.0,0.273,0.273,0.273,0.273,0.273,0.273
2017-08-17 11:20:00,,0.0264171799073,,,,,,,,,SDR-754,0.057,,0.33,0.33,6.0,18.0,0.141,0.141,0.141,0.141,0.141,0.141
2017-08-31 12:50:00,,0.0,,,,,,,,,SDR-754,0.0,,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 15:45:00,,0.0686846677591,,,,,,,,,SDR-754,0.057,,0.5,0.5,6.0,18.0,0.398,0.398,0.398,0.398,0.398,0.398
2017-09-19 15:55:00,,0.0,,,,,,,,,SDR-754,0.057,,0.5,0.5,6.0,18.0,0.398,0.398,0.398,0.398,0.398,0.398
2018-05-14 00:50:00,,0.0,,,,,,,,,SDR-754,,,0.1,0.1,6.0,18.0,0.007,0.007,0.007,0.007,0.007,0.007
2018-06-12 11:05:00,,0.0184920259351,,,,,,,,,SDR-754,,,0.22,0.22,6.0,18.0,0.051,0.051,0.051,0.051,0.051,0.051
2018-07-17 15:00:00,,0.0,,,,,,,,,SDR-754,,,0.1,0.1,6.0,18.0,0.007,0.007,0.007,0.007,0.007,0.007
2018-07-23 13:20:00,,0.00528343598147,,,,,,,,,SDR-754,,,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
