Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-17 10:05:00,,7.2911472,,,,,,,,,,,,,6.0,57.0,,,,,,
2016-05-24 10:50:00,,6.28402067257,,,,,,,,,,,1.45,1.45,6.0,57.0,5.794,5.794,5.794,5.794,5.794,5.794
2016-06-21 12:45:00,,1.98129,,,,,,,,,,,1.09,1.09,6.0,57.0,2.855,2.855,2.855,2.855,2.855,2.855
2016-06-28 13:15:00,,4.98991555556,,,,,,,,,,,,-3.17,6.0,57.0,,,,,,
2016-06-28 13:20:00,,4.94722109091,,,,,,,,,,,,-3.02,6.0,57.0,,,,,,
2016-07-25 11:25:00,,6.340128,,,,,,,,,,,1.68,1.68,6.0,57.0,8.352,8.352,8.352,8.352,8.352,8.352
2016-08-05 11:25:00,,5.811784,,,,,,,,,,,1.63,1.63,6.0,57.0,7.748,7.748,7.748,7.748,7.748,7.748
2016-08-25 11:25:00,,6.96229009346,,,,,,,,,,,1.54,1.54,6.0,57.0,6.728,6.728,6.728,6.728,6.728,6.728
2016-09-23 13:00:00,,5.48421072,,,,,,,,,,,1.55,1.55,6.0,57.0,6.837,6.837,6.837,6.837,6.837,6.837
2016-10-03 10:40:00,,4.91301431734,,,,,,,,,,,,,,,,,,,,
2017-04-28 14:15:00,,12.2839886569,,,,,,,,SLR-152,12.884,,,,,,,,,,,
2017-05-10 13:25:00,,15.8503079444,,,,,,,,SLR-152,19.864,,1.76,1.76,6.0,57.0,9.376,9.376,9.376,9.376,9.376,9.376
2017-05-25 08:30:00,,11.0001137134,,,,,,,,SLR-152,5.032,,2.27,2.27,6.0,57.0,17.657,17.657,17.657,17.657,17.657,17.657
2017-06-07 11:30:00,,14.26527715,,,,,,,,SLR-152,6.302,,1.44,1.44,6.0,57.0,5.695,5.695,5.695,5.695,5.695,5.695
2017-06-19 11:30:00,,8.90787306475,,,,,,,,SLR-152,3.053,,4.64,4.64,6.0,57.0,104.882,104.882,104.882,104.882,104.882,104.882
2017-07-06 10:20:00,,8.30254225659,,,,,,,,SLR-152,8.352,,1.27,1.27,6.0,57.0,4.17,4.17,4.17,4.17,4.17,4.17
2017-07-20 14:10:00,,6.84377782272,,,,,,,,SLR-152,5.994,,,,6.0,57.0,,,,,,
2017-08-03 11:25:00,,10.1604538105,,,,,,,,SLR-152,8.476,,1.13,1.13,6.0,57.0,3.121,3.121,3.121,3.121,3.121,3.121
2017-08-03 11:30:00,,9.31365803741,,,,,,,,SLR-152,8.476,,1.25,1.25,6.0,57.0,4.009,4.009,4.009,4.009,4.009,4.009
2017-08-17 13:15:00,,9.29404420376,,,,,,,,SLR-152,9.509,,1.7,1.7,6.0,57.0,8.601,8.601,8.601,8.601,8.601,8.601
2017-08-17 13:25:00,,0.0,,,,,,,,SLR-152,9.509,,1.53,1.53,6.0,57.0,6.62,6.62,6.62,6.62,6.62,6.62
2017-08-29 12:20:00,,10.8687825904,,,,,,,,SLR-152,8.476,,1.85,1.85,6.0,57.0,10.613,10.613,10.613,10.613,10.613,10.613
2017-08-29 12:35:00,,0.0,,,,,,,,SLR-152,8.476,,1.67,1.67,6.0,57.0,8.229,8.229,8.229,8.229,8.229,8.229
2017-09-19 13:40:00,,0.0,,,,,,,,SLR-152,23.587,,,,6.0,57.0,,,,,,
2017-09-19 14:05:00,,11.3146813634,,,,,,,,SLR-152,9.509,,,,6.0,57.0,,,,,,
2017-10-04 10:10:00,,15.3200002437,,,,,,,,SLR-152,14.205,,,,,,,,,,,
2018-05-14 10:35:00,,7.13263857498,,,,,,,,SLR-152,,,1.33,1.33,6.0,58.0,4.676,4.676,4.676,4.676,4.676,4.676
2018-05-25 14:30:00,,7.64777358317,,,,,,,,SLR-152,,,1.49,1.49,6.0,58.0,6.199,6.199,6.199,6.199,6.199,6.199
2018-06-12 14:15:00,,3.71491592447,,,,,,,,SLR-152,,,1.09,1.09,6.0,58.0,2.855,2.855,2.855,2.855,2.855,2.855
2018-06-26 15:45:00,,3.2493131286,,,,,,,,SLR-152,,,1.05,1.05,6.0,58.0,2.602,2.602,2.602,2.602,2.602,2.602
2018-07-10 12:15:00,,6.60429497683,,,,,,,,SLR-152,,,1.53,1.53,6.0,58.0,6.62,6.62,6.62,6.62,6.62,6.62
2018-07-10 12:15:00,,6.60429497683,,,,,,,,SLR-152,,,1.53,1.53,6.0,58.0,6.62,6.62,6.62,6.62,6.62,6.62
2018-07-23 13:15:00,,5.36646140403,,,,,,,,SLR-152,,,1.45,1.45,6.0,58.0,5.794,5.794,5.794,5.794,5.794,5.794
2018-08-06 11:00:00,,15.8503079444,,,,,,,,SLR-152,,,2.04,2.04,6.0,58.0,13.535,13.535,13.535,13.535,13.535,13.535
2018-08-21 15:50:00,,5.32570346932,,,,,,,,SLR-152,,,1.53,1.53,6.0,58.0,6.62,6.62,6.62,6.62,6.62,6.62
2018-09-05 13:25:00,,8.45349757035,,,,,,,,SLR-152,,,1.88,1.88,6.0,58.0,11.046,11.046,11.046,11.046,11.046,11.046
2018-09-18 10:40:00,,11.2854192564,,,,,,,,SLR-152,,,1.8,1.8,6.0,58.0,9.914,9.914,9.914,9.914,9.914,9.914
