Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,Unnamed: 2,Unnamed: 3,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-24 13:20:00,,0.12,,,,,,,,,,,,,0.14,0.14,6.0,60.0,0.016,0.016,0.016,0.016,0.016,0.016
2016-06-22 11:55:00,,9.509,,,,,,,,,,`,,,1.46,1.46,6.0,60.0,5.893,5.893,5.893,5.893,5.893,5.893
2016-07-25 13:25:00,,1.209,,,,,,,,,,,,,1.15,1.15,6.0,60.0,3.26,3.26,3.26,3.26,3.26,3.26
2016-08-05 09:20:00,,4.009,,,,,,,,,,,,,1.28,1.28,6.0,60.0,4.252,4.252,4.252,4.252,4.252,4.252
2016-08-29 11:55:00,,1.06,,,,,,,,,,,,,,,6.0,60.0,,,,,,
2016-10-04 09:50:00,,3.475,,,,,,,,,,,,,,,,,,,,,,
2017-05-12 09:45:00,,4.64942366369,,,,,,,,CAR-072,,,3.475,,1.51,1.51,6.0,60.0,6.407,6.407,6.407,6.407,6.407,6.407
2017-05-12 09:45:00,,,,,,1.181103,-1.852,,,CAR-072,,,,3.033103,1.51,1.51,6.0,60.0,6.407,6.407,6.407,6.407,6.407,6.407
2017-05-24 11:10:00,,2.63115111877,,,,,,,,CAR-072,,,0.398,,1.12,1.12,6.0,60.0,3.053,3.053,3.053,3.053,3.053,3.053
2017-05-24 11:10:00,,,,,,0.5,-2.243,,,CAR-072,,,,2.743,1.12,1.12,6.0,60.0,3.053,3.053,3.053,3.053,3.053,3.053
2017-06-07 12:55:00,,2.90060635383,,,,,,,,CAR-072,,,1.096,,1.04,1.04,6.0,60.0,2.541,2.541,2.541,2.541,2.541,2.541
2017-06-07 12:55:00,,,,,,0.75,-2.326,,,CAR-072,,,,3.076,1.04,1.04,6.0,60.0,2.541,2.541,2.541,2.541,2.541,2.541
2017-06-19 13:20:00,,5.42080531698,,,,,,,,CAR-072,,,4.009,,1.39,1.39,6.0,60.0,5.217,5.217,5.217,5.217,5.217,5.217
2017-06-19 13:20:00,,,,,,1.25,-1.971,,,CAR-072,,,,3.221,1.39,1.39,6.0,60.0,5.217,5.217,5.217,5.217,5.217,5.217
2017-07-06 15:25:00,,2.06348787259,,,,,,,,CAR-072,,,1.876,,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,2.09393700269,,,,,,,,CAR-072,,,1.876,,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,2.17027293393,,,,,,,,CAR-072,,,1.876,,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,,,,2.9895,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-07-20 10:35:00,,2.93081165764,,,,,,,,CAR-072,,,3.475,,1.0,1.0,6.0,60.0,2.306,2.306,2.306,2.306,2.306,2.306
2017-07-20 10:35:00,,,,,,1.1811023622,-2.37,,,CAR-072,,,,3.5511023622,1.0,1.0,6.0,60.0,2.306,2.306,2.306,2.306,2.306,2.306
2017-08-03 14:35:00,,2.16281005089,,,,,,,,CAR-072,,,1.927,,0.89,0.89,6.0,60.0,1.681,1.681,1.681,1.681,1.681,1.681
2017-08-03 14:35:00,,,,,,0.944881889764,-2.48,,,CAR-072,,,,3.42488188976,0.89,0.89,6.0,60.0,1.681,1.681,1.681,1.681,1.681,1.681
2017-08-03 14:50:00,,0.0,,,,,,,,CAR-072,,,1.927,,0.96,0.96,6.0,60.0,2.031,2.031,2.031,2.031,2.031,2.031
2017-08-03 14:50:00,,,,,,0.944881889764,-2.41,,,CAR-072,,,,3.35488188976,0.96,0.96,6.0,60.0,2.031,2.031,2.031,2.031,2.031,2.031
2017-08-17 10:00:00,,2.85305542999,,,,,,,,CAR-072,,,2.79,,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-08-17 10:00:00,,,,,,1.08267716535,-2.06,,,CAR-072,,,,3.14267716535,1.31,1.31,6.0,60.0,4.503,4.503,4.503,4.503,4.503,4.503
2017-08-17 10:25:00,,0.0,,,,,,,,CAR-072,,,2.79,,1.0,1.0,6.0,60.0,2.306,2.306,2.306,2.306,2.306,2.306
2017-08-17 10:25:00,,,,,,1.08267716535,-2.37,,,CAR-072,,,,3.45267716535,1.0,1.0,6.0,60.0,2.306,2.306,2.306,2.306,2.306,2.306
