Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-05-26 09:55:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-09 08:25:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 08:30:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 18:00:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-13 15:30:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-21 13:05:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04 11:45:00,,0.0,,,,,,,,SDG-115B,0.003,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04 11:55:00,,0.0,,,,,,,,SDG-115B,0.003,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 13:30:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-30 15:30:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-20 15:20:00,,0.0,,,,,,,,SDG-115B,0.0,,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-05 13:40:00,,0.0,,,,,,,,SDG-115B,,,,,,,,,,,,
2018-06-25 11:15:00,,0.0,,,,,,,,SDG-115B,,,0.12,0.12,3.25,34.0,0.011,0.011,0.011,0.011,0.011,0.011
2018-08-20 14:00:00,,0.0,,,,,,,,SDG-115B,,,0.0,,3.25,34.0,0.0,,0.0,,0.0,
2018-09-17 15:30:00,,0.0,,,,,,,,SDG-115B,,,0.02,0.02,3.25,34.0,0.0,0.0,0.0,0.0,0.0,0.0
