Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 09:15:00,,0.0,,,,,,,SDR-064,0.0,,,,,,,,,,,
2017-05-11 15:45:00,,0.0,,,,,,,SDR-064,0.0,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-26 11:15:00,,0.0103027001639,,,,,,,SDR-064,0.187,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 14:10:00,,0.0,,,,,,,SDR-064,0.0,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 11:50:00,,0.0,,,,,,,SDR-064,0.0,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 14:05:00,,0.0,,,,,,,SDR-064,,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 08:30:00,,1.14166553725,,,,,,,SDR-064,1.37,,0.7,0.7,6.0,32.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-07-20 08:50:00,,0.0898184116849,,,,,,,SDR-064,0.214,,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:35:00,,0.0,,,,,,,SDR-064,0.0,,,,6.0,32.0,,,,,,
2017-08-17 10:25:00,,0.0,,,,,,,SDR-064,0.0,,0.07,0.07,6.0,32.0,0.003,0.003,0.003,0.003,0.003,0.003
2017-08-31 11:05:00,,0.0,,,,,,,SDR-064,0.0,,0.22,0.22,6.0,32.0,0.051,0.051,0.051,0.051,0.051,0.051
2017-09-19 15:00:00,,0.0,,,,,,,SDR-064,0.0,,0.35,0.35,6.0,32.0,0.163,0.163,0.163,0.163,0.163,0.163
2017-10-03 13:45:00,,0.0,,,,,,,SDR-064,,,,,,,,,,,,
2018-05-14 13:30:00,,0.0,,,,,,,SDR-064,,,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 12:15:00,,0.285305542999,,,,,,,SDR-064,,,0.39,0.39,6.0,29.0,0.214,0.214,0.214,0.214,0.214,0.214
