Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),GPM,Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 10:20:00,,,0.330214748842,,,,,,,,,,,,SDR-127,0.341,,,,,,,,,,,
2017-05-11 11:30:00,,,0.443808622443,,,,,,,,,,,,SDR-127,0.214,,,,7.5,66.0,,,,,,
2017-05-30 10:20:00,,,0.237754619166,,,,,,,,,,,,SDR-127,0.011,,0.28,0.28,7.5,66.0,0.093,0.093,0.093,0.093,0.093,0.093
2017-06-08 12:15:00,,,0.132085899537,,,,,,,,,,,,SDR-127,0.07,,0.05,0.05,7.5,66.0,0.001,0.001,0.001,0.001,0.001,0.001
2017-06-21 09:40:00,,,0.0673638087637,,,,,,,,,,,,SDR-127,0.011,,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 12:25:00,,,0.0,,,,,,,,,,,,SDR-127,,,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 12:30:00,,,0.0660429497683,,,,,,,,,,,,SDR-127,0.163,,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 10:55:00,,,0.158503079444,,,,,,,,,,,,SDR-127,0.214,,0.35,0.35,7.5,66.0,0.163,0.163,0.163,0.163,0.163,0.163
2017-07-20 11:00:00,,,0.0,,,,,,,,,,,,SDR-127,0.214,,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 10:25:00,,,0.449092058425,,,,,,,,,,,,SDR-127,0.601,,0.56,,7.5,66.0,0.528,,0.528,,0.528,
2017-08-17 12:40:00,,,3.04350019465,,,,,,,,,,,,SDR-127,2.422,,1.0,1.0,7.5,66.0,2.306,2.306,2.306,2.306,2.306,2.306
2017-08-17 12:45:00,,,0.0,,,,,,,,,,,,SDR-127,2.422,,1.11,1.11,7.5,66.0,2.986,2.986,2.986,2.986,2.986,2.986
2017-08-31 12:15:00,,,0.317006158888,,,,,,,,,,,,SDR-127,0.214,,0.48,0.48,7.5,66.0,0.359,0.359,0.359,0.359,0.359,0.359
2017-09-19 14:20:00,,,0.0,,,,,,,,,,,,SDR-127,0.0,,0.22,0.22,7.5,66.0,0.051,0.051,0.051,0.051,0.051,0.051
2017-10-03 10:55:00,,,0.0,,,,,,,,,,,,SDR-127,0.003,,,,,,,,,,,
2018-05-15 10:45:00,,,0.877050372923,,,,,,,,,,,,SDR-127,,,0.33,0.33,6.0,66.0,0.141,0.141,0.141,0.141,0.141,0.141
2018-05-25 00:25:00,,,0.113593873602,,,,,,,,,,,,SDR-127,,,0.21,0.21,6.0,66.0,0.045,0.045,0.045,0.045,0.045,0.045
2018-06-12 08:20:00,,,0.158503079444,,,,,,,,,,,,SDR-127,,,0.45,0.45,6.0,66.0,0.306,0.306,0.306,0.306,0.306,0.306
2018-06-25 11:15:00,,,0.599669983896,,,,,,,,,,,,SDR-127,,,0.64,0.64,6.0,66.0,0.737,0.737,0.737,0.737,0.737,0.737
2018-07-10 13:55:00,,,0.1426527715,,,,,,,,,,,,SDR-127,,,0.29,0.29,6.0,66.0,0.102,0.102,0.102,0.102,0.102,0.102
2018-07-24 11:00:00,,,0.243038055147,,,,,,,,,,,,SDR-127,,,0.33,0.33,6.0,66.0,0.141,0.141,0.141,0.141,0.141,0.141
2018-08-07 09:15:00,,,0.248321491129,,,,,,,,,,,,SDR-127,,,0.45,0.45,6.0,66.0,0.306,0.306,0.306,0.306,0.306,0.306
2018-08-20 10:25:00,,,0.343423338795,,,,,,,,,,,,SDR-127,,,0.72,0.72,6.0,66.0,0.989,0.989,0.989,0.989,0.989,0.989
2018-09-18 08:45:00,,,0.0422674878517,,,,,,,,,,,,SDR-127,,,0.45,0.45,6.0,66.0,0.306,0.306,0.306,0.306,0.306,0.306
