Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-14 11:15:00,,3.15421128094,,,,,,,,SDR-207G,,0.54,0.54,8.0,72.0,0.482,0.482,0.482,0.482,0.482,0.482
2018-05-25 10:20:00,,3.97314385806,,,,,,,,SDR-207G,,0.82,0.82,8.0,72.0,1.37,1.37,1.37,1.37,1.37,1.37
2018-06-11 09:20:00,,2.27187747203,,,,,,,,SDR-207G,,0.91,0.91,8.0,72.0,1.777,1.777,1.777,1.777,1.777,1.777
2018-06-25 12:00:00,,3.51876836366,,,,,,,,SDR-207G,,0.99,0.99,8.0,72.0,2.194,2.194,2.194,2.194,2.194,2.194
2018-07-10 12:30:00,,1.47407863883,,,,,,,,SDR-207G,,0.94,0.94,8.0,72.0,1.927,1.927,1.927,1.927,1.927,1.927
2018-07-24 09:45:00,,1.29972525144,,,,,,,,SDR-207G,,0.84,0.84,8.0,72.0,1.455,1.455,1.455,1.455,1.455,1.455
2018-08-07 10:55:00,,1.37369335518,,,,,,,,SDR-207G,,0.8,0.8,8.0,72.0,1.288,1.288,1.288,1.288,1.288,1.288
2018-08-20 00:40:00,,1.15707247994,,,,,,,,SDR-207G,,1.2,1.2,8.0,72.0,3.623,3.623,3.623,3.623,3.623,3.623
2018-09-04 12:50:00,,1.32085899537,,,,,,,,SDR-207G,,0.98,0.98,8.0,72.0,2.139,2.139,2.139,2.139,2.139,2.139
2018-09-17 12:10:00,,0.914034424794,,,,,,,,SDR-207G,,0.61,0.61,8.0,72.0,0.654,0.654,0.654,0.654,0.654,0.654
2018-09-17 12:10:00,,0.914034424794,,,,,,,,SDR-207G,,0.61,0.61,8.0,72.0,0.654,0.654,0.654,0.654,0.654,0.654
