Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 08:55:00,,0.0,,,,,,,,,SDR-228,0.0,,,,,,,,,,,
2017-05-11 15:30:00,,0.0,,,,,,,,,SDR-228,0.0,,0.38,0.38,8.0,33.0,0.2,0.2,0.2,0.2,0.2,0.2
2017-05-26 11:50:00,,0.0,,,,,,,,,SDR-228,0.07,,0.42,0.42,8.0,33.0,0.257,0.257,0.257,0.257,0.257,0.257
2017-06-08 13:55:00,,0.0,,,,,,,,,SDR-228,0.0,,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 12:15:00,,0.0,,,,,,,,,SDR-228,0.0,,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 13:50:00,,0.0,,,,,,,,,SDR-228,,,0.31,0.31,8.0,33.0,0.12,0.12,0.12,0.12,0.12,0.12
2017-07-06 13:50:00,,0.0871766936942,,,,,,,,,SDR-228,0.12,,0.31,0.31,8.0,33.0,0.12,0.12,0.12,0.12,0.12,0.12
2017-07-20 09:15:00,,0.0,,,,,,,,,SDR-228,,,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:20:00,,0.0,,,,,,,,,SDR-228,0.0,,,,8.0,33.0,,,,,,
2017-08-17 10:45:00,,0.0,,,,,,,,,SDR-228,0.0,,0.16,0.16,8.0,33.0,0.023,0.023,0.023,0.023,0.023,0.023
2017-08-31 11:25:00,,0.0,,,,,,,,,SDR-228,0.0,,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 14:35:00,,0.0,,,,,,,,,SDR-228,0.0,,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-03 13:30:00,,0.0,,,,,,,,,SDR-228,0.0,,,,,,,,,,,
2018-05-14 13:15:00,,0.0924601296757,,,,,,,,,SDR-228,,,,,8.0,34.0,,,,,,
2018-05-15 10:30:00,,0.0501926418239,,,,,,,,,SDR-228,,,0.0,,8.0,34.0,0.0,,0.0,,0.0,
2018-05-29 10:00:00,,0.0435883468471,,,,,,,,,SDR-228,,,0.37,0.37,8.0,34.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-06-12 11:25:00,,0.0079251539722,,,,,,,,,SDR-228,,,0.28,0.28,8.0,34.0,0.093,0.093,0.093,0.093,0.093,0.093
2018-06-25 13:40:00,,0.0184920259351,,,,,,,,,SDR-228,,,0.39,0.39,8.0,34.0,0.214,0.214,0.214,0.214,0.214,0.214
2018-07-09 12:35:00,,0.150577925472,,,,,,,,,SDR-228,,,0.42,0.42,8.0,34.0,0.257,0.257,0.257,0.257,0.257,0.257
2018-07-23 12:35:00,,0.0845349757035,,,,,,,,,SDR-228,,,0.27,0.27,8.0,34.0,0.085,0.085,0.085,0.085,0.085,0.085
2018-08-07 01:10:00,,1.00385283648,,,,,,,,,SDR-228,,,0.89,0.89,8.0,34.0,1.681,1.681,1.681,1.681,1.681,1.681
