Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-16 13:15:00,,,0.834448063492,,,,,,,,,,,,,,0.65,0.65,3.0,33.0,0.766,0.766,0.766,0.766,0.766,0.766
2016-05-16 13:15:00,,,0.792516,,,,,,,,,,,,,,0.65,0.65,3.0,33.0,0.766,0.766,0.766,0.766,0.766,0.766
2016-05-24 12:35:00,,,2.24484187793,,,,,,,,,,,,,,0.38,0.38,3.0,33.0,0.2,0.2,0.2,0.2,0.2,0.2
2016-06-22 10:35:00,,,0.20077072,,,,,,,,,,,,,,0.66,0.66,3.0,33.0,0.796,0.796,0.796,0.796,0.796,0.796
2016-07-25 12:45:00,,,0.11359396,,,,,,,,,,,,,,0.68,0.68,3.0,33.0,0.858,0.858,0.858,0.858,0.858,0.858
2016-08-05 12:30:00,,,0.3830494,,,,,,,,,,,,,,0.82,0.82,3.0,33.0,1.37,1.37,1.37,1.37,1.37,1.37
2016-08-25 13:15:00,,,0.20605416,,,,,,,,,,,,,,0.61,0.61,3.0,33.0,0.654,0.654,0.654,0.654,0.654,0.654
2016-09-26 12:30:00,,,0.4490924,,,,,,,,,,,,,,1.16,1.16,3.0,33.0,3.331,3.331,3.331,3.331,3.331,3.331
2016-10-03 14:25:00,,,0.0132086,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28 13:35:00,,,0.0554760778054,,,,,,,,,,,SLR-150,0.187,,,,,,,,,,,
2017-05-10 08:50:00,,,11.0071582947,,,,,,,,,,,SLR-150,9.643,,1.8,1.8,3.0,33.0,9.914,9.914,9.914,9.914,9.914,9.914
2017-05-25 08:25:00,,,2.36169588372,,,,,,,,,,,SLR-150,2.306,,1.44,1.44,3.0,33.0,5.695,5.695,5.695,5.695,5.695,5.695
2017-06-07 08:45:00,,,0.554760778054,,,,,,,,,,,SLR-150,0.011,,0.8,0.8,3.0,33.0,1.288,1.288,1.288,1.288,1.288,1.288
