Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 15:10:00,,3.9625769861,,,,,,,,SLR-152H,4.009,,,,,,,,,,,
2017-05-10 08:30:00,,6.34012317776,,,,,,,,SLR-152H,6.096,,1.76,1.76,7.0,45.0,9.376,9.376,9.376,9.376,9.376,9.376
2017-05-25 11:30:00,,3.50291805571,,,,,,,,SLR-152H,15.965,,1.28,1.28,7.0,45.0,4.252,4.252,4.252,4.252,4.252,4.252
2017-06-07 10:30:00,,4.06560398774,,,,,,,,SLR-152H,2.306,,1.29,1.29,7.0,45.0,4.334,4.334,4.334,4.334,4.334,4.334
2017-06-19 10:35:00,,3.42366651599,,,,,,,,SLR-152H,1.096,,1.06,1.06,7.0,45.0,2.664,2.664,2.664,2.664,2.664,2.664
2017-07-06 11:30:00,,3.04154557852,,,,,,,,SLR-152H,3.053,,1.16,1.16,7.0,45.0,3.331,3.331,3.331,3.331,3.331,3.331
2017-07-06 11:30:00,,3.0506868847,,,,,,,,SLR-152H,3.053,,1.16,1.16,7.0,45.0,3.331,3.331,3.331,3.331,3.331,3.331
2017-07-06 11:30:00,,2.95786679693,,,,,,,,SLR-152H,3.053,,1.16,1.16,7.0,45.0,3.331,3.331,3.331,3.331,3.331,3.331
2017-07-20 13:20:00,,2.94279614409,,,,,,,,SLR-152H,3.19,,1.02,1.02,7.0,45.0,2.422,2.422,2.422,2.422,2.422,2.422
2017-08-03 10:55:00,,2.79163936398,,,,,,,,SLR-152H,3.475,,1.27,1.27,7.0,45.0,4.17,4.17,4.17,4.17,4.17,4.17
2017-08-03 11:00:00,,0.0,,,,,,,,SLR-152H,3.475,,1.28,1.28,7.0,45.0,4.252,4.252,4.252,4.252,4.252,4.252
2017-08-17 14:15:00,,2.91645666177,,,,,,,,SLR-152H,2.92,,1.16,1.16,7.0,45.0,3.331,3.331,3.331,3.331,3.331,3.331
2017-08-17 14:25:00,,0.0,,,,,,,,SLR-152H,2.92,,1.0,1.0,7.0,45.0,2.306,2.306,2.306,2.306,2.306,2.306
2017-08-29 12:40:00,,3.27372969592,,,,,,,,SLR-152H,3.475,,1.05,1.05,7.0,45.0,2.602,2.602,2.602,2.602,2.602,2.602
2017-08-29 12:45:00,,0.0,,,,,,,,SLR-152H,3.475,,1.08,1.08,7.0,45.0,2.79,2.79,2.79,2.79,2.79,2.79
2017-09-19 13:05:00,,3.27368915939,,,,,,,,SLR-152H,2.422,,1.09,1.09,7.0,45.0,2.855,2.855,2.855,2.855,2.855,2.855
2017-09-19 13:10:00,,0.0,,,,,,,,SLR-152H,2.422,,1.05,1.05,7.0,45.0,2.602,2.602,2.602,2.602,2.602,2.602
2017-10-04 11:40:00,,3.28093454952,,,,,,,,SLR-152H,3.19,,,,,,,,,,,
2018-05-14 09:25:00,,3.48706774777,,,,,,,,SLR-152A,,,1.4,1.4,7.0,45.0,5.31,5.31,5.31,5.31,5.31,5.31
2018-05-25 13:55:00,,2.98514132953,,,,,,,,SLR-152A,,,1.18,1.18,7.0,45.0,3.475,3.475,3.475,3.475,3.475,3.475
2018-06-12 13:30:00,,2.83984684004,,,,,,,,SLR-152A,,,1.19,1.19,7.0,45.0,3.548,3.548,3.548,3.548,3.548,3.548
2018-06-26 14:35:00,,3.69840518703,,,,,,,,SLR-152A,,,1.07,1.07,7.0,45.0,2.727,2.727,2.727,2.727,2.727,2.727
2018-07-10 11:25:00,,3.9625769861,,,,,,,,SLR-152A,,,,,7.0,45.0,,,,,,
2018-07-23 14:10:00,,2.98514132953,,,,,,,,SLR-152A,,,1.26,1.25,7.0,45.0,4.089,4.089,4.089,4.089,4.089,4.089
2018-08-06 12:05:00,,2.90588978981,,,,,,,,SLR-152A,,,1.29,1.29,7.0,45.0,4.334,4.334,4.334,4.334,4.334,4.334
2018-08-21 02:30:00,,2.75795358233,2.8213548141,,,,,,,SLR-152A,,,1.22,1.22,7.0,45.0,3.774,3.774,3.774,3.774,3.774,3.774
2018-09-04 14:00:00,,3.07495974121,,,,,,,,SLR-152A,,,1.05,1.05,7.0,45.0,2.602,2.602,2.602,2.602,2.602,2.602
2018-09-05 14:20:00,,8.26197301602,,,,,,,,SLR-152A,,,1.04,1.04,7.0,45.0,2.541,2.541,2.541,2.541,2.541,2.541
2018-09-05 14:20:00,,8.26197301602,,,,,,,,SLR-152A,,,1.04,1.04,7.0,45.0,2.541,2.541,2.541,2.541,2.541,2.541
2018-09-18 09:35:00,,3.17006158888,,,,,,,,SLR-152A,,,0.76,0.76,7.0,45.0,1.133,1.133,1.133,1.133,1.133,1.133
