Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 15:40:00,,33.0753874962,,,,,,,,SLR-155F,35.358,,,,,,,,,,,
2017-05-10 08:45:00,,11.8877309583,,,,,,,,SLR-155F,12.566,,2.45,2.45,6.0,52.0,21.35,21.35,21.35,21.35,21.35,21.35
2017-05-25 08:40:00,,52.8607769946,,,,,,,,SLR-155F,47.246,,3.47,3.47,6.0,52.0,50.818,50.818,50.818,50.818,50.818,50.818
2017-06-07 10:50:00,,35.7688615945,,,,,,,,SLR-155F,38.988,,3.35,3.35,6.0,52.0,46.55,46.55,46.55,46.55,46.55,46.55
2017-06-19 10:55:00,,8.65426813764,,,,,,,,SLR-155F,4.009,,1.78,1.78,6.0,52.0,9.643,9.643,9.643,9.643,9.643,9.643
2017-07-06 12:00:00,,4.56703788228,,,,,,,,SLR-155F,4.009,,1.41,1.41,6.0,52.0,5.405,5.405,5.405,5.405,5.405,5.405
2017-07-06 12:00:00,,4.31910704912,,,,,,,,SLR-155F,4.009,,1.41,1.41,6.0,52.0,5.405,5.405,5.405,5.405,5.405,5.405
2017-07-06 12:00:00,,4.2935371407,,,,,,,,SLR-155F,4.009,,1.41,1.41,6.0,52.0,5.405,5.405,5.405,5.405,5.405,5.405
2017-07-20 13:30:00,,4.98577761631,,,,,,,,SLR-155F,5.032,,1.49,1.49,6.0,52.0,6.199,6.199,6.199,6.199,6.199,6.199
2017-08-03 11:10:00,,5.6356650469,,,,,,,,SLR-155F,7.059,,1.86,1.86,6.0,52.0,10.757,10.757,10.757,10.757,10.757,10.757
2017-08-03 11:20:00,,0.0,,,,,,,,SLR-155F,7.059,,1.01,1.01,6.0,52.0,2.364,2.364,2.364,2.364,2.364,2.364
2017-08-17 13:35:00,,4.95017309648,,,,,,,,SLR-155F,5.032,,1.28,1.28,6.0,52.0,4.252,4.252,4.252,4.252,4.252,4.252
2017-08-17 13:50:00,,0.0,,,,,,,,SLR-155F,5.032,,1.47,1.47,6.0,52.0,5.994,5.994,5.994,5.994,5.994,5.994
2017-08-29 13:05:00,,5.84380040374,,,,,,,,SLR-155F,6.199,,1.49,1.49,6.0,52.0,6.199,6.199,6.199,6.199,6.199,6.199
2017-08-29 13:10:00,,0.0,,,,,,,,SLR-155F,5.597,,1.1,1.1,6.0,52.0,2.92,2.92,2.92,2.92,2.92,2.92
2017-09-19 14:25:00,,6.96815424726,,,,,,,,SLR-155F,7.059,,1.76,1.76,6.0,52.0,9.376,9.376,9.376,9.376,9.376,9.376
2017-09-19 14:35:00,,0.0,,,,,,,,SLR-155F,7.059,,1.5,1.5,6.0,52.0,6.302,6.302,6.302,6.302,6.302,6.302
2017-10-04 12:30:00,,18.8564008304,,,,,,,,SLR-155F,19.451,,,,,,,,,,,
2018-05-14 10:20:00,,9.19317860775,11.4914732597,,,,,,,SLR-155F,,,1.83,1.83,6.0,50.0,10.33,10.33,10.33,10.33,10.33,10.33
2018-05-25 14:15:00,,49.5322123263,,,,,,,,SLR-155F,,,3.48,3.48,6.0,50.0,51.184,51.184,51.184,51.184,51.184,51.184
2018-06-12 14:00:00,,25.8888363092,,,,,,,,SLR-155F,,,2.59,2.59,6.0,50.0,24.519,24.519,24.519,24.519,24.519,24.519
2018-06-26 15:30:00,,5.61965463483,,,,,,,,SLR-155F,,,1.31,1.31,6.0,50.0,4.503,4.503,4.503,4.503,4.503,4.503
2018-07-10 12:00:00,,64.986262572,,,,,,,,SLR-155F,,,3.58,3.58,6.0,50.0,54.93,54.93,54.93,54.93,54.93,54.93
2018-07-23 13:55:00,,5.37691215652,,,,,,,,SLR-155F,,,1.29,1.29,6.0,50.0,4.334,4.334,4.334,4.334,4.334,4.334
2018-08-21 15:25:00,,2.37754619166,2.5360492711,,,,,,,SLR-155F,,,0.87,0.87,6.0,50.0,1.588,1.588,1.588,1.588,1.588,1.588
2018-09-05 14:50:00,,5.2658245282,,,,,,,,SLR-155F,,,1.15,1.15,6.0,50.0,3.26,3.26,3.26,3.26,3.26,3.26
2018-09-18 10:05:00,,4.42487763448,,,,,,,,SLR-155F,,,0.94,0.94,6.0,50.0,1.927,1.927,1.927,1.927,1.927,1.927
