Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-07-15 09:30:00,,0.7132644,,,,,,,,,,,,,4.0,60.0,,,,,,
2016-07-21 10:10:00,,0.7132644,,,,,,,,,,,1.02,1.02,4.0,60.0,2.422,2.422,2.422,2.422,2.422,2.422
2016-08-04 09:10:00,,0.66571344,,,,,,,,,,,0.78,0.78,4.0,60.0,1.209,1.209,1.209,1.209,1.209,1.209
2016-08-09 08:15:00,,0.30115608,,,,,,,,,,,0.95,0.95,4.0,60.0,1.979,1.979,1.979,1.979,1.979,1.979
2016-08-24 12:40:00,,0.264172,,,,,,,,,,,0.68,0.68,4.0,60.0,0.858,0.858,0.858,0.858,0.858,0.858
2016-09-22 10:55:00,,0.3037978,,,,,,,,,,,0.84,,4.0,60.0,1.455,,1.455,,1.455,
2016-10-05 08:45:00,,0.13736944,,,,,,,,,,,,,,,,,,,,
2017-04-28 11:30:00,,0.757292490677,,,,,,,,SWT-235,0.709,,,,,,,,,,,
2017-05-11 10:30:00,,0.722069584134,,,,,,,,SWT-235,0.601,,,,4.0,60.0,,,,,,
2017-05-30 11:30:00,,0.332856466832,,,,,,,,SWT-235,0.011,,0.77,0.77,4.0,60.0,1.17,1.17,1.17,1.17,1.17,1.17
2017-06-08 10:55:00,,0.604953419878,,,,,,,,SWT-235,0.187,,0.87,0.87,4.0,60.0,1.588,1.588,1.588,1.588,1.588,1.588
2017-06-21 10:35:00,,1.98921364702,,,,,,,,SWT-235,1.096,,0.29,0.29,4.0,60.0,0.102,0.102,0.102,0.102,0.102,0.102
2017-07-06 10:10:00,,0.0,,,,,,,,SWT-235,,,,,4.0,60.0,,,,,,
2017-07-06 10:20:00,,7.03357415033,,,,,,,,SWT-235,5.405,,,,4.0,60.0,,,,,,
2017-07-10 13:35:00,,4.40286331789,,,,,,,,SWT-235,5.032,,2.2,2.2,4.0,60.0,16.332,16.332,16.332,16.332,16.332,16.332
2017-07-10 13:45:00,,0.0,,,,,,,,SWT-235,2.139,,1.68,1.68,4.0,60.0,8.352,8.352,8.352,8.352,8.352,8.352
2017-07-20 11:50:00,,0.865569459611,,,,,,,,SWT-235,0.922,,1.01,1.01,4.0,60.0,2.364,2.364,2.364,2.364,2.364,2.364
2017-07-20 11:55:00,,0.0,,,,,,,,SWT-235,0.922,,0.56,0.56,4.0,60.0,0.528,0.528,0.528,0.528,0.528,0.528
2017-08-03 08:05:00,,13.8690194514,,,,,,,,SWT-235,14.205,,2.38,,4.0,60.0,19.864,,19.864,,19.864,
2017-08-17 09:55:00,,13.3142586733,,,,,,,,SWT-235,7.059,,,,4.0,60.0,,,,,,
2017-08-17 10:00:00,,6.00990842892,,,,,,,,SWT-235,5.794,,,,4.0,60.0,,,,,,
2017-08-31 10:25:00,,0.390974262629,,,,,,,,SWT-235,0.601,,,,4.0,60.0,,,,,,
2017-09-19 11:35:00,,0.553165109469,,,,,,,,SWT-235,0.601,,0.7,0.7,4.0,60.0,0.922,0.922,0.922,0.922,0.922,0.922
2017-09-19 11:40:00,,0.0,,,,,,,,SWT-235,0.601,,0.43,0.43,4.0,60.0,0.273,0.273,0.273,0.273,0.273,0.273
2017-10-02 14:20:00,,0.608309115704,,,,,,,,SWT-235,0.601,,,,,,,,,,,
2018-04-25 10:15:00,,0.908750988812,,,,,,,,SWT-235,,,,,,,,,,,,
2018-05-14 08:30:00,,1.46351176687,,,,,,,,SWT-235,,,1.25,1.25,2.0,28.0,4.009,4.009,4.009,4.009,4.009,4.009
2018-05-25 07:55:00,,1.0831043762,,,,,,,,SWT-235,,,0.7,0.7,2.0,28.0,0.922,0.922,0.922,0.922,0.922,0.922
2018-06-25 08:05:00,,1.07253750424,,,,,,,,SWT-235,,,0.26,0.26,2.0,28.0,0.078,0.078,0.078,0.078,0.078,0.078
2018-07-09 09:25:00,,1.01706142643,,,,,,,,SWT-235,,,0.5,0.5,2.0,28.0,0.398,0.398,0.398,0.398,0.398,0.398
2018-07-24 09:20:00,,0.0211337439259,,,,,,,,SWT-235,,,0.54,0.54,2.0,28.0,0.482,0.482,0.482,0.482,0.482,0.482
2018-08-06 09:30:00,,1.4529448949,,,,,,,,SWT-235,,,0.82,0.82,2.0,28.0,1.37,1.37,1.37,1.37,1.37,1.37
2018-08-20 09:00:00,,0.491359546276,,,,,,,,SWT-235,,,0.46,0.46,2.0,28.0,0.323,0.323,0.323,0.323,0.323,0.323
2018-09-04 09:15:00,,0.317006158888,,,,,,,,SWT-235,,,0.74,0.74,2.0,28.0,1.06,1.06,1.06,1.06,1.06,1.06
2018-09-17 08:35:00,,0.75553134535,,,,,,,,SWT-235,,,1.41,1.41,2.0,28.0,5.405,5.405,5.405,5.405,5.405,5.405
